length,A,B,max_abs_D,output_size,parity_pattern
10,10,19,5,5,monochrome
20,1014,1033,10,10,monochrome
50,55670,55719,25,25,monochrome
100,813554,813653,50,50,monochrome
200,817066,817265,48,100,pos
500,85178,85677,58,250,pos
1000,222446,223445,92,500,pos
2000,523180,525179,126,1000,pos
5000,950222,955221,204,2500,pos
10000,650084,660083,230,5000,pos
20000,275056,295055,252,10000,neg
50000,630482,680481,256,25000,pos
100000,879930,979929,326,50000,pos
