source_interval,image_size,image_discrepancy,normalized_image_discrepancy,iteration_depth
"[32768,32967] J",200,-102,0.66233766,1
"[32768,33267] Y",250,6,0.04347826,1
"[32768,33267] J",500,-172,0.5443038,1
"[32768,33767] Y",500,9,0.03585657,1
"[32768,33767] J",1000,-308,0.54225352,1
"[32768,34767] Y",1000,22,0.04583333,1
"[32768,34767] J",2000,-154,0.15009747,1
"[32768,42767] Y",5000,32,0.01292407,1
"[32768,132767] Y",50000,-112,0.00448359,1
"[65536,65555] Y",10,0,,1
"[65536,65555] J",20,0,,1
"[65536,65585] Y",25,1,0.14285714,1
"[65536,65585] J",50,1,0.14285714,1
"[65536,65635] Y",50,1,0.05263158,1
"[65536,65635] J",100,1,0.05263158,1
"[65536,65735] Y",100,6,0.13636364,1
"[65536,65735] J",200,6,0.13636364,1
"[65536,66035] Y",250,0,0.0,1
"[65536,66035] J",500,0,0.0,1
"[65536,66535] Y",500,6,0.02727273,1
"[65536,66535] J",1000,249,0.53779698,1
"[65536,67535] Y",1000,25,0.0513347,1
"[65536,67535] J",2000,509,0.52420185,1
"[65536,75535] Y",5000,7,0.00281237,1
"[65536,165535] Y",50000,-170,0.00679456,1
"[99856,99875] Y",10,0,,1
"[99856,99875] J",20,0,,1
"[99856,99905] Y",25,-2,0.33333333,1
"[99856,99905] J",50,-2,0.33333333,1
"[99856,99955] Y",50,-3,0.14285714,1
"[99856,99955] J",100,-3,0.14285714,1
"[99856,100055] Y",100,-9,0.2,1
"[99856,100055] J",200,-9,0.2,1
"[99856,100355] Y",250,-23,0.20720721,1
"[99856,100355] J",500,-23,0.20720721,1
"[99856,100855] Y",500,-22,0.09565217,1
"[99856,100855] J",1000,161,0.38983051,1
"[99856,101855] Y",1000,-28,0.05668016,1
"[99856,101855] J",2000,242,0.28205128,1
"[99856,109855] Y",5000,-63,0.02518992,1
"[99856,199855] Y",50000,-70,0.00279709,1
"[131072,131091] Y",10,0,0.0,1
"[131072,131091] J",20,0,0.0,1
"[131072,131121] Y",25,0,0.0,1
"[131072,131121] J",50,0,0.0,1
"[131072,131171] Y",50,4,0.15384615,1
"[131072,131171] J",100,4,0.15384615,1
"[131072,131271] Y",100,9,0.16981132,1
"[131072,131271] J",200,9,0.16981132,1
"[131072,131571] Y",250,-7,0.056,1
"[131072,131571] J",500,-7,0.056,1
"[131072,132071] Y",500,-1,0.00404858,1
"[131072,132071] J",1000,150,0.37688442,1
"[131072,133071] Y",1000,5,0.01075269,1
"[131072,133071] J",2000,368,0.44444444,1
"[131072,141071] Y",5000,78,0.03170732,1
"[131072,231071] Y",50000,127,0.00508386,1
"[262144,262163] Y",10,0,,1
"[262144,262163] J",20,0,,1
"[262144,262193] Y",25,-1,0.14285714,1
"[262144,262193] J",50,-1,0.14285714,1
"[262144,262243] Y",50,0,0.0,1
"[262144,262243] J",100,0,0.0,1
"[262144,262343] Y",100,1,0.02325581,1
"[262144,262343] J",200,1,0.02325581,1
"[262144,262643] Y",250,8,0.06666667,1
"[262144,262643] J",500,8,0.06666667,1
"[262144,263143] Y",500,6,0.02362205,1
"[262144,263143] J",1000,6,0.02362205,1
"[262144,264143] Y",1000,-19,0.03675048,1
"[262144,264143] J",2000,-506,0.50398406,1
"[262144,272143] Y",5000,-122,0.04907482,1
"[262144,362143] Y",50000,-202,0.00807935,1
"[524288,524307] Y",10,-2,0.5,1
"[524288,524307] J",20,-2,0.5,1
"[524288,524337] Y",25,-4,0.33333333,1
