n,trajectory_step,observed_Z,predicted_Z,vertical_error,branch,exact_state_reference
193,31,0.825153,1.086101,-0.260948,O,2500081117364457597103753228130643
193,32,0.902199,1.110958,-0.208759,O,125006083851684254032911770636881936002935213167792
193,33,0.770489,1.135814,-0.365325,E,11180611962307083575217341
193,34,0.847534,1.160671,-0.313137,O,37385084144258700860882659812109565321
193,35,0.924579,1.185527,-0.260948,O,228584902940059036992530063196087441033592221326828188706
193,36,0.79287,1.210384,-0.417514,E,15119024536657748178420491404
193,37,0.66116,1.23524,-0.57408,E,122959442649427
193,38,0.738205,1.260097,-0.521891,O,1363461341744035464645
193,39,0.815251,1.284953,-0.469703,O,50345915589617164834882804641907
193,40,0.892296,1.30981,-0.417514,O,357228717984469076156265647345820162649030836909
193,41,0.969341,1.334666,-0.365325,O,213510652364782397843026859707319027062802862458137784399639528250553463
193,42,1.046386,1.359523,-0.313137,O,98657321694562501675205021287898285557337718595933234431125663931221095309446056660456573695238852474571940
193,43,0.914677,1.384379,-0.469703,E,314097630832457094601796592567466624850923021672186263
193,44,0.991722,1.409236,-0.417514,O,176034175683409990063162474576394005899382576861836986485302873395938582149223647
193,45,1.068767,1.434092,-0.365325,O,2335583972936934175973768741006239202403923962510710150142771378804289023156434308081089859394177107373051341442946539283
193,46,1.145812,1.458949,-0.313137,O,3569383647019921601196081100446846210429183602931681482531029787343025685554735896593360722019355698911660280681088034640682259704242000578178853662049841907830351031203971614820535
193,47,1.222857,1.483805,-0.260948,O,6743569603489758391265376070807357156339920158784377929096419715849060516985205368792190354996630779167466266586213526771780967700267133711091446786931423291036091166608223302792047793105565012490585915410391500762927066039966992101729450252321626382793545523711387059090
193,48,1.091148,1.456473,-0.365325,E,2596838386093704983313619934858270260857283101413188539169861885993119954311353932889478620864296962621529725679291208002594811422120338
193,49,0.959438,1.429141,-0.469703,E,50959183530485503485198639535818032319035928338337423375592984269127
193,50,1.036483,1.401809,-0.365325,O,363775705505410141193817546261264729090734465994485660216899878585641144502423869385294960624178882761
193,51,1.113529,1.374476,-0.260948,O,219407029411112590818010712537639825578231300120939265740051149544966414199665317933423250452736725441455439817095388802129297144510847194532722710242998
193,52,0.981819,1.347144,-0.365325,E,14812394452319739342096359104262517685112913351551700183034075687474470449139
193,53,1.058864,1.319812,-0.260948,O,1802759957745100912250875534265884723130360437070372283434311112871903045583343152489910661534609578781170021643695
193,54,1.135909,1.29248,-0.156571,O,2420509852094485247453733068052725999138323313956887138151517318100148437868969397050378587291323596322888366665628809913964504595366066316880628269846839642308875866131544
193,55,1.0042,1.265148,-0.260948,E,49198677340905062662939811560682886197562765750845239150698459413028788350877727154825
193,56,1.081245,1.237815,-0.156571,O,345088225260843137877619283374703743403293839223599864834418840901427746391599004573983685511371207210786222453943968256472002282
193,57,0.949535,1.210483,-0.260948,E,18576550413379851667686344304414416320877109761453842042916361298
193,58,0.817825,1.183151,-0.365325,E,136295819500745699385467168480691
193,59,0.894871,1.155819,-0.260948,O,1591196456157605691034253297154147179610666669563
193,60,0.971916,1.128486,-0.156571,O,2007177150238329722598563216939402100834479264717426750198386462141848998
193,61,0.840206,1.101154,-0.260948,E,1416748795742678484878115560718916573
193,62,0.917251,1.073822,-0.156571,O,1686317233038426516253154650348709619736921072620208505
193,63,0.994297,1.04649,-0.052193,O,2189822518185243314687481797556162050937304910769750430403579637086599568222830164
193,64,0.862587,1.019158,-0.156571,E,46795539511637680387807540852770826335698
193,65,0.730877,0.991825,-0.260948,E,216322766974809381453
193,66,0.807923,0.964493,-0.156571,O,3181656893701217924800282348016
193,67,0.676213,0.937161,-0.260948,E,1783719959439042
193,68,0.544503,0.909829,-0.365325,E,42234108
193,69,0.412791,0.882496,-0.469705,E,6498
193,70,0.280752,0.855164,-0.574412,E,80
425,0,0.297485,0.297485,-0.0,,425
425,1,0.364479,0.319099,0.04538,O,8761
425,2,0.431475,0.340714,0.090761,O,820031
425,3,0.498471,0.362328,0.136143,O,742583689
425,4,0.565467,0.383942,0.181525,O,20235694231553
425,5,0.632463,0.405557,0.226906,O,91028453119575577493
425,6,0.699459,0.427171,0.272288,O,868491843305390437279055194021
425,7,0.766455,0.448786,0.317669,O,809372819968498130292670129184744027793288142
425,8,0.651924,0.4704,0.181525,E,28449478377792766313063
425,9,0.71892,0.492014,0.226906,O,4798565883810176976333128295724941
425,10,0.785916,0.513629,0.272288,O,332404728459652093438283466731903400760886863666464
425,11,0.671386,0.535243,0.136143,E,18231969955538323380891992
425,12,0.556856,0.556857,-2e-06,E,4269891094107
425,13,0.623852,0.578472,0.04538,O,8823181180343186817
425,14,0.690847,0.600086,0.090761,O,26208236315443984064030381073
425,15,0.757843,0.6217,0.136143,O,4242840386069048178854633568610737237441236
425,16,0.643313,0.643315,-2e-06,E,2059815619435159098981
425,17,0.710309,0.664929,0.04538,O,93485126613784537628222361674294
425,18,0.595779,0.686543,-0.090765,E,9668770687827100
425,19,0.481249,0.708158,-0.226909,E,98329907
425,20,0.548244,0.729772,-0.181528,O,975053493377
425,21,0.61524,0.751387,-0.136146,O,962814592636969484
425,22,0.50071,0.773001,-0.272291,E,981231161
425,23,0.567706,0.794615,-0.226909,O,30736682958089
425,24,0.634702,0.81623,-0.181528,O,170406240925207851193
425,25,0.701698,0.837844,-0.136146,O,2224478662837586504108969116963
425,26,0.768694,0.859458,-0.090765,O,3317740135198023757291383133023737944106825185
425,27,0.83569,0.881073,-0.045383,O,191101259683678333042337502262701139021508064820167946739670633422864
425,28,0.721159,0.902687,-0.181528,E,13823937922447363661061200474966334
425,29,0.606629,0.924301,-0.317672,E,117575243663142640
425,30,0.492099,0.945916,-0.453817,E,342892466
425,31,0.377568,0.96753,-0.589962,E,18517
425,32,0.444564,0.989145,-0.54458,O,2519741
425,33,0.51156,1.010759,-0.499199,O,3999759273
425,34,0.578556,1.032373,-0.453817,O,252959375788643
425,35,0.645552,1.053988,-0.408436,O,4023242138760300413339
425,36,0.712548,1.075602,-0.363054,O,255190355577945416584467401606735
425,37,0.779544,1.097216,-0.317673,O,4076583905824644665751864341442906429893371267353
425,38,0.84654,1.118831,-0.272291,O,8230847938518493917482830769503142723891695891144676325086026635806232664
425,39,0.732009,1.095064,-0.363054,E,2868945440143205985378084223040336844
425,40,0.617479,1.071296,-0.453817,E,1693796162512834950
425,41,0.502949,1.047529,-0.54458,E,1301459243
425,42,0.569945,1.023762,-0.453817,O,46951109355784
425,43,0.455415,0.999995,-0.54458,E,6852087
425,44,0.52241,0.976228,-0.453817,O,17936359616
425,45,0.40788,0.952461,-0.544581,E,133926
425,46,0.293276,0.928693,-0.635417,E,365
761,0,0.285216,0.285216,-0.0,,761
761,1,0.346329,0.304933,0.041397,O,20993
761,2,0.407443,0.324649,0.082794,O,3041667
761,3,0.468556,0.344366,0.124191,O,5304781483
761,4,0.52967,0.364082,0.165587,O,386368087704903
761,5,0.590783,0.383799,0.206984,O,7594546973497602811501
761,6,0.651896,0.403515,0.248381,O,661839691598253552202685597958819
761,7,0.71301,0.423232,0.289778,O,17026650182816928005493556043695807742097551379101
761,8,0.774123,0.442948,0.331175,O,70257682492909974225185364449445397617989481570549157578945699748166723211
