scale_range,ensemble,history,P_O,P_E,sample_size
exp(2^7)--exp(2^8),orbit_n<=4000,EOO,0.444444,0.555556,45
exp(2^7)--exp(2^8),orbit_n<=4000,OEE,0.666667,0.333333,15
exp(2^7)--exp(2^8),orbit_n<=4000,OEO,0.463415,0.536585,41
exp(2^7)--exp(2^8),orbit_n<=4000,OOE,0.4375,0.5625,48
exp(2^7)--exp(2^8),orbit_n<=4000,OOO,0.458599,0.541401,157
exp(2^8)--exp(2^9),orbit_n<=4000,EEE,0.0,1.0,2
exp(2^8)--exp(2^9),orbit_n<=4000,EEO,0.4,0.6,5
exp(2^8)--exp(2^9),orbit_n<=4000,EOE,0.857143,0.142857,7
exp(2^8)--exp(2^9),orbit_n<=4000,EOO,0.48,0.52,25
exp(2^8)--exp(2^9),orbit_n<=4000,OEE,0.5,0.5,4
exp(2^8)--exp(2^9),orbit_n<=4000,OEO,0.541667,0.458333,24
exp(2^8)--exp(2^9),orbit_n<=4000,OOE,0.363636,0.636364,22
exp(2^8)--exp(2^9),orbit_n<=4000,OOO,0.453125,0.546875,64
exp(2^9)--exp(2^10),orbit_n<=4000,EEE,0.0,1.0,1
exp(2^9)--exp(2^10),orbit_n<=4000,EEO,0.0,1.0,2
exp(2^9)--exp(2^10),orbit_n<=4000,EOE,0.0,1.0,1
exp(2^9)--exp(2^10),orbit_n<=4000,EOO,0.555556,0.444444,9
exp(2^9)--exp(2^10),orbit_n<=4000,OEE,0.5,0.5,2
exp(2^9)--exp(2^10),orbit_n<=4000,OEO,0.285714,0.714286,7
exp(2^9)--exp(2^10),orbit_n<=4000,OOE,0.4,0.6,5
exp(2^9)--exp(2^10),orbit_n<=4000,OOO,0.307692,0.692308,26
exp(2^1)--exp(2^2),orbit_n<=1e5,,0.487179,0.512821,39
exp(2^1)--exp(2^2),orbit_n<=1e5,O,0.25,0.75,4
exp(2^1)--exp(2^2),orbit_n<=1e5,OEO,0.0,1.0,1
exp(2^1)--exp(2^2),orbit_n<=1e5,OO,0.0,1.0,1
exp(2^1)--exp(2^2),orbit_n<=1e5,OOE,0.0,1.0,2
exp(2^1)--exp(2^2),orbit_n<=1e5,OOO,0.0,1.0,1
exp(2^10)--exp(2^11),orbit_n<=1e5,EEE,0.470588,0.529412,17
exp(2^10)--exp(2^11),orbit_n<=1e5,EEO,0.444444,0.555556,54
exp(2^10)--exp(2^11),orbit_n<=1e5,EOE,0.473684,0.526316,57
exp(2^10)--exp(2^11),orbit_n<=1e5,EOO,0.531915,0.468085,235
exp(2^10)--exp(2^11),orbit_n<=1e5,OEE,0.485714,0.514286,70
exp(2^10)--exp(2^11),orbit_n<=1e5,OEO,0.544643,0.455357,224
exp(2^10)--exp(2^11),orbit_n<=1e5,OOE,0.530806,0.469194,211
exp(2^10)--exp(2^11),orbit_n<=1e5,OOO,0.445926,0.554074,675
exp(2^11)--exp(2^12),orbit_n<=1e5,EEO,0.714286,0.285714,28
exp(2^11)--exp(2^12),orbit_n<=1e5,EOE,0.466667,0.533333,15
exp(2^11)--exp(2^12),orbit_n<=1e5,EOO,0.457944,0.542056,107
exp(2^11)--exp(2^12),orbit_n<=1e5,OEE,0.37037,0.62963,27
exp(2^11)--exp(2^12),orbit_n<=1e5,OEO,0.554545,0.445455,110
exp(2^11)--exp(2^12),orbit_n<=1e5,OOE,0.45614,0.54386,114
exp(2^11)--exp(2^12),orbit_n<=1e5,OOO,0.511182,0.488818,313
exp(2^12)--exp(2^13),orbit_n<=1e5,EEO,0.25,0.75,4
exp(2^12)--exp(2^13),orbit_n<=1e5,EOE,0.666667,0.333333,3
exp(2^12)--exp(2^13),orbit_n<=1e5,EOO,0.465116,0.534884,43
exp(2^12)--exp(2^13),orbit_n<=1e5,OEO,0.625,0.375,32
exp(2^12)--exp(2^13),orbit_n<=1e5,OOE,0.333333,0.666667,39
exp(2^12)--exp(2^13),orbit_n<=1e5,OOO,0.409091,0.590909,154
exp(2^13)--exp(2^14),orbit_n<=1e5,EOO,0.466667,0.533333,15
exp(2^13)--exp(2^14),orbit_n<=1e5,OEO,0.25,0.75,4
exp(2^13)--exp(2^14),orbit_n<=1e5,OOO,0.436364,0.563636,55
exp(2^2)--exp(2^3),orbit_n<=1e5,,0.5,0.5,2926
exp(2^2)--exp(2^3),orbit_n<=1e5,EEE,0.428571,0.571429,14
exp(2^2)--exp(2^3),orbit_n<=1e5,EOE,0.4,0.6,30
exp(2^2)--exp(2^3),orbit_n<=1e5,O,0.56701,0.43299,97
exp(2^2)--exp(2^3),orbit_n<=1e5,OEE,0.378378,0.621622,37
exp(2^2)--exp(2^3),orbit_n<=1e5,OEO,0.555556,0.444444,9
exp(2^2)--exp(2^3),orbit_n<=1e5,OO,0.25,0.75,4
exp(2^2)--exp(2^3),orbit_n<=1e5,OOE,0.468927,0.531073,177
exp(2^3)--exp(2^4),orbit_n<=1e5,,0.5,0.5,97020
exp(2^3)--exp(2^4),orbit_n<=1e5,EEE,0.481481,0.518519,1485
exp(2^3)--exp(2^4),orbit_n<=1e5,EEO,0.47079,0.52921,291
exp(2^3)--exp(2^4),orbit_n<=1e5,EOE,0.50359,0.49641,4317
exp(2^3)--exp(2^4),orbit_n<=1e5,EOO,0.52,0.48,25
exp(2^3)--exp(2^4),orbit_n<=1e5,O,0.499602,0.500398,21347
exp(2^3)--exp(2^4),orbit_n<=1e5,OEE,0.490955,0.509045,4312
exp(2^3)--exp(2^4),orbit_n<=1e5,OEO,0.512334,0.487666,1054
exp(2^3)--exp(2^4),orbit_n<=1e5,OO,0.498392,0.501608,311
exp(2^3)--exp(2^4),orbit_n<=1e5,OOE,0.502732,0.497268,15923
exp(2^3)--exp(2^4),orbit_n<=1e5,OOO,0.181818,0.818182,11
exp(2^4)--exp(2^5),orbit_n<=1e5,EEE,0.505176,0.494824,1449
exp(2^4)--exp(2^5),orbit_n<=1e5,EEO,0.499377,0.500623,4013
exp(2^4)--exp(2^5),orbit_n<=1e5,EOE,0.507209,0.492791,4300
exp(2^4)--exp(2^5),orbit_n<=1e5,EOO,0.493311,0.506689,5382
exp(2^4)--exp(2^5),orbit_n<=1e5,O,0.499527,0.500473,28549
exp(2^4)--exp(2^5),orbit_n<=1e5,OEE,0.499885,0.500115,4359
exp(2^4)--exp(2^5),orbit_n<=1e5,OEO,0.498911,0.501089,14229
exp(2^4)--exp(2^5),orbit_n<=1e5,OO,0.501074,0.498926,24667
exp(2^4)--exp(2^5),orbit_n<=1e5,OOE,0.500453,0.499547,14341
exp(2^4)--exp(2^5),orbit_n<=1e5,OOO,0.511538,0.488462,1820
exp(2^5)--exp(2^6),orbit_n<=1e5,EEE,0.516961,0.483039,737
exp(2^5)--exp(2^6),orbit_n<=1e5,EEO,0.493733,0.506267,2234
exp(2^5)--exp(2^6),orbit_n<=1e5,EOE,0.501756,0.498244,2278
exp(2^5)--exp(2^6),orbit_n<=1e5,EOO,0.514118,0.485882,6481
exp(2^5)--exp(2^6),orbit_n<=1e5,OEE,0.517226,0.482774,2264
exp(2^5)--exp(2^6),orbit_n<=1e5,OEO,0.506924,0.493076,6427
exp(2^5)--exp(2^6),orbit_n<=1e5,OOE,0.497976,0.502024,6422
exp(2^5)--exp(2^6),orbit_n<=1e5,OOO,0.496468,0.503532,22227
exp(2^6)--exp(2^7),orbit_n<=1e5,EEE,0.503958,0.496042,379
exp(2^6)--exp(2^7),orbit_n<=1e5,EEO,0.486271,0.513729,1129
exp(2^6)--exp(2^7),orbit_n<=1e5,EOE,0.484629,0.515371,1106
exp(2^6)--exp(2^7),orbit_n<=1e5,EOO,0.498669,0.501331,3381
exp(2^6)--exp(2^7),orbit_n<=1e5,OEE,0.503617,0.496383,1106
exp(2^6)--exp(2^7),orbit_n<=1e5,OEO,0.501029,0.498971,3403
exp(2^6)--exp(2^7),orbit_n<=1e5,OOE,0.503953,0.496047,3415
exp(2^6)--exp(2^7),orbit_n<=1e5,OOO,0.502369,0.497631,9499
exp(2^7)--exp(2^8),orbit_n<=1e5,EEE,0.475962,0.524038,208
exp(2^7)--exp(2^8),orbit_n<=1e5,EEO,0.478632,0.521368,585
exp(2^7)--exp(2^8),orbit_n<=1e5,EOE,0.495396,0.504604,543
exp(2^7)--exp(2^8),orbit_n<=1e5,EOO,0.489879,0.510121,1729
exp(2^7)--exp(2^8),orbit_n<=1e5,OEE,0.522968,0.477032,566
exp(2^7)--exp(2^8),orbit_n<=1e5,OEO,0.521219,0.478781,1673
exp(2^7)--exp(2^8),orbit_n<=1e5,OOE,0.504172,0.495828,1678
exp(2^7)--exp(2^8),orbit_n<=1e5,OOO,0.492486,0.507514,4991
exp(2^8)--exp(2^9),orbit_n<=1e5,EEE,0.482759,0.517241,87
exp(2^8)--exp(2^9),orbit_n<=1e5,EEO,0.522034,0.477966,295
exp(2^8)--exp(2^9),orbit_n<=1e5,EOE,0.527027,0.472973,296
exp(2^8)--exp(2^9),orbit_n<=1e5,EOO,0.506555,0.493445,839
exp(2^8)--exp(2^9),orbit_n<=1e5,OEE,0.487421,0.512579,318
exp(2^8)--exp(2^9),orbit_n<=1e5,OEO,0.515078,0.484922,829
exp(2^8)--exp(2^9),orbit_n<=1e5,OOE,0.494662,0.505338,843
exp(2^8)--exp(2^9),orbit_n<=1e5,OOO,0.50625,0.49375,2560
exp(2^9)--exp(2^10),orbit_n<=1e5,EEE,0.511111,0.488889,45
exp(2^9)--exp(2^10),orbit_n<=1e5,EEO,0.559006,0.440994,161
exp(2^9)--exp(2^10),orbit_n<=1e5,EOE,0.530303,0.469697,132
exp(2^9)--exp(2^10),orbit_n<=1e5,EOO,0.550562,0.449438,445
exp(2^9)--exp(2^10),orbit_n<=1e5,OEE,0.496124,0.503876,129
exp(2^9)--exp(2^10),orbit_n<=1e5,OEO,0.482759,0.517241,435
exp(2^9)--exp(2^10),orbit_n<=1e5,OOE,0.471074,0.528926,484
exp(2^9)--exp(2^10),orbit_n<=1e5,OOO,0.512509,0.487491,1319
