round,target,predecessor,branch,validation_status
4,42,1818,E,ok
4,42,1820,E,ok
4,42,1822,E,ok
4,42,1824,E,ok
4,42,1826,E,ok
4,42,1828,E,ok
4,42,1830,E,ok
4,42,1832,E,ok
4,42,1834,E,ok
4,42,1836,E,ok
4,42,1838,E,ok
4,42,1840,E,ok
4,42,1842,E,ok
4,42,1844,E,ok
4,42,1846,E,ok
4,42,1848,E,ok
4,44,1936,E,ok
4,44,1938,E,ok
4,44,1940,E,ok
4,44,1942,E,ok
4,44,1944,E,ok
4,44,1946,E,ok
4,44,1948,E,ok
4,44,1950,E,ok
4,44,1952,E,ok
4,44,1954,E,ok
4,44,1956,E,ok
4,44,1958,E,ok
4,44,1960,E,ok
4,44,1962,E,ok
4,44,1964,E,ok
4,44,1966,E,ok
4,44,1968,E,ok
4,44,1970,E,ok
4,44,1972,E,ok
4,44,1974,E,ok
4,44,1976,E,ok
4,44,1978,E,ok
4,44,1980,E,ok
4,44,1982,E,ok
4,44,1984,E,ok
4,44,1986,E,ok
4,44,1988,E,ok
4,44,1990,E,ok
4,44,1992,E,ok
4,44,1994,E,ok
4,44,1996,E,ok
4,44,1998,E,ok
4,44,2000,E,ok
4,44,2002,E,ok
4,44,2004,E,ok
4,44,2006,E,ok
4,44,2008,E,ok
4,44,2010,E,ok
4,44,2012,E,ok
4,44,2014,E,ok
4,44,2016,E,ok
4,44,2018,E,ok
4,44,2020,E,ok
4,44,2022,E,ok
4,44,2024,E,ok
4,46,2116,E,ok
4,46,2118,E,ok
4,46,2120,E,ok
4,46,2122,E,ok
4,46,2124,E,ok
4,46,2126,E,ok
4,46,2128,E,ok
4,46,2130,E,ok
4,46,2132,E,ok
4,46,2134,E,ok
4,46,2136,E,ok
4,46,2138,E,ok
4,46,2140,E,ok
4,46,2142,E,ok
4,46,2144,E,ok
4,46,2146,E,ok
4,46,2148,E,ok
4,46,2150,E,ok
4,46,2152,E,ok
4,46,2154,E,ok
4,46,2156,E,ok
