n,target,a,b,r,peak,peak_position,beta_num,beta_den,validation_status
1603,253,1,1,2,64180,1,3,4,OK
1605,253,1,1,2,64300,1,3,4,OK
1607,253,1,1,2,64420,1,3,4,OK
1609,15,1,2,3,64540,1,3,8,OK
1611,64661,1,0,1,64661,1,3,2,OK
1613,64781,1,0,1,64781,1,3,2,OK
1615,15,1,2,3,64902,1,3,8,OK
1617,15,1,2,3,65022,1,3,8,OK
1619,65143,1,0,1,65143,1,3,2,OK
1621,255,1,1,2,65264,1,3,4,OK
1623,255,1,1,2,65384,1,3,4,OK
1625,65505,1,0,1,65505,1,3,2,OK
1627,1,1,5,6,65626,1,3,64,OK
1629,65747,1,0,1,65747,1,3,2,OK
1631,1,1,5,6,65868,1,3,64,OK
1633,1,1,5,6,65990,1,3,64,OK
1635,66111,1,0,1,66111,1,3,2,OK
1637,257,1,1,2,66232,1,3,4,OK
1639,257,1,1,2,66354,1,3,4,OK
1641,66475,1,0,1,66475,1,3,2,OK
1643,66597,1,0,1,66597,1,3,2,OK
1645,1,1,5,6,66718,1,3,64,OK
1647,1,1,5,6,66840,1,3,64,OK
1649,1,1,5,6,66962,1,3,64,OK
1651,259,1,1,2,67084,1,3,4,OK
1653,259,1,1,2,67206,1,3,4,OK
1655,259,1,1,2,67328,1,3,4,OK
1657,259,1,1,2,67450,1,3,4,OK
1659,259,1,1,2,67572,1,3,4,OK
1661,1,1,5,6,67694,1,3,64,OK
1663,1,1,5,6,67816,1,3,64,OK
1665,67939,1,0,1,67939,1,3,2,OK
1667,68061,1,0,1,68061,1,3,2,OK
1669,261,1,1,2,68184,1,3,4,OK
1671,261,1,1,2,68306,1,3,4,OK
1673,68429,1,0,1,68429,1,3,2,OK
1675,261,1,1,2,68552,1,3,4,OK
1677,68675,1,0,1,68675,1,3,2,OK
1679,1,1,5,6,68798,1,3,64,OK
1681,68921,1,0,1,68921,1,3,2,OK
1683,1,1,5,6,69044,1,3,64,OK
1685,69167,1,0,1,69167,1,3,2,OK
1687,263,1,1,2,69290,1,3,4,OK
1689,69413,1,0,1,69413,1,3,2,OK
1691,263,1,1,2,69536,1,3,4,OK
1693,263,1,1,2,69660,1,3,4,OK
1695,69783,1,0,1,69783,1,3,2,OK
1697,69907,1,0,1,69907,1,3,2,OK
1699,1,1,5,6,70030,1,3,64,OK
1701,1,1,5,6,70154,1,3,64,OK
1703,265,1,1,2,70278,1,3,4,OK
1705,265,1,1,2,70402,1,3,4,OK
1707,265,1,1,2,70526,1,3,4,OK
1709,265,1,1,2,70650,1,3,4,OK
1711,1,1,5,6,70774,1,3,64,OK
1713,1,1,5,6,70898,1,3,64,OK
1715,1,1,5,6,71022,1,3,64,OK
1717,1,1,5,6,71146,1,3,64,OK
1719,71271,1,0,1,71271,1,3,2,OK
1721,71395,1,0,1,71395,1,3,2,OK
1723,267,1,1,2,71520,1,3,4,OK
1725,267,1,1,2,71644,1,3,4,OK
1727,71769,1,0,1,71769,1,3,2,OK
1729,71893,1,0,1,71893,1,3,2,OK
1731,1,1,5,6,72018,1,3,64,OK
1733,72143,1,0,1,72143,1,3,2,OK
1735,1,1,5,6,72268,1,3,64,OK
1737,72393,1,0,1,72393,1,3,2,OK
1739,269,1,1,2,72518,1,3,4,OK
1741,72643,1,0,1,72643,1,3,2,OK
1743,269,1,1,2,72768,1,3,4,OK
1745,269,1,1,2,72894,1,3,4,OK
1747,73019,1,0,1,73019,1,3,2,OK
1749,73145,1,0,1,73145,1,3,2,OK
1751,1,1,5,6,73270,1,3,64,OK
1753,1,1,5,6,73396,1,3,64,OK
1755,73521,1,0,1,73521,1,3,2,OK
1757,73647,1,0,1,73647,1,3,2,OK
1759,73773,1,0,1,73773,1,3,2,OK
1761,73899,1,0,1,73899,1,3,2,OK
1763,74025,1,0,1,74025,1,3,2,OK
1765,74151,1,0,1,74151,1,3,2,OK
1767,74277,1,0,1,74277,1,3,2,OK
1769,74403,1,0,1,74403,1,3,2,OK
1771,74529,1,0,1,74529,1,3,2,OK
1773,74655,1,0,1,74655,1,3,2,OK
1775,273,1,1,2,74782,1,3,4,OK
1777,273,1,1,2,74908,1,3,4,OK
1779,75035,1,0,1,75035,1,3,2,OK
1781,75161,1,0,1,75161,1,3,2,OK
1783,1,1,5,6,75288,1,3,64,OK
1785,1,1,5,6,75414,1,3,64,OK
1787,75541,1,0,1,75541,1,3,2,OK
1789,275,1,1,2,75668,1,3,4,OK
1791,75795,1,0,1,75795,1,3,2,OK
1793,275,1,1,2,75922,1,3,4,OK
1795,76049,1,0,1,76049,1,3,2,OK
1797,1,1,5,6,76176,1,3,64,OK
1799,76303,1,0,1,76303,1,3,2,OK
1801,76431,1,0,1,76431,1,3,2,OK
1803,1,1,5,6,76558,1,3,64,OK
1805,76685,1,0,1,76685,1,3,2,OK
1807,76813,1,0,1,76813,1,3,2,OK
1809,76941,1,0,1,76941,1,3,2,OK
1811,277,1,1,2,77068,1,3,4,OK
1813,277,1,1,2,77196,1,3,4,OK
1815,1,1,5,6,77324,1,3,64,OK
1817,77451,1,0,1,77451,1,3,2,OK
1819,77579,1,0,1,77579,1,3,2,OK
1821,77707,1,0,1,77707,1,3,2,OK
1823,77835,1,0,1,77835,1,3,2,OK
1825,279,1,1,2,77964,1,3,4,OK
1827,279,1,1,2,78092,1,3,4,OK
1829,279,1,1,2,78220,1,3,4,OK
1831,279,1,1,2,78348,1,3,4,OK
1833,78477,1,0,1,78477,1,3,2,OK
1835,78605,1,0,1,78605,1,3,2,OK
1837,1,1,5,6,78734,1,3,64,OK
1839,1,1,5,6,78862,1,3,64,OK
1841,78991,1,0,1,78991,1,3,2,OK
1843,281,1,1,2,79120,1,3,4,OK
1845,79249,1,0,1,79249,1,3,2,OK
1847,281,1,1,2,79378,1,3,4,OK
1849,79507,1,0,1,79507,1,3,2,OK
1851,1,1,5,6,79636,1,3,64,OK
1853,79765,1,0,1,79765,1,3,2,OK
1855,1,1,5,6,79894,1,3,64,OK
1857,80023,1,0,1,80023,1,3,2,OK
1859,283,1,1,2,80152,1,3,4,OK
1861,283,1,1,2,80282,1,3,4,OK
1863,80411,1,0,1,80411,1,3,2,OK
1865,80541,1,0,1,80541,1,3,2,OK
1867,1,1,5,6,80670,1,3,64,OK
1869,1,1,5,6,80800,1,3,64,OK
1871,1,1,5,6,80930,1,3,64,OK
1873,1,1,5,6,81060,1,3,64,OK
1875,81189,1,0,1,81189,1,3,2,OK
1877,81319,1,0,1,81319,1,3,2,OK
1879,81449,1,0,1,81449,1,3,2,OK
1881,81579,1,0,1,81579,1,3,2,OK
1883,285,1,1,2,81710,1,3,4,OK
1885,1,1,5,6,81840,1,3,64,OK
1887,1,1,5,6,81970,1,3,64,OK
1889,1,1,5,6,82100,1,3,64,OK
1891,82231,1,0,1,82231,1,3,2,OK
1893,82361,1,0,1,82361,1,3,2,OK
1895,287,1,1,2,82492,1,3,4,OK
1897,82623,1,0,1,82623,1,3,2,OK
1899,82753,1,0,1,82753,1,3,2,OK
1901,287,1,1,2,82884,1,3,4,OK
1903,83015,1,0,1,83015,1,3,2,OK
1905,1,1,5,6,83146,1,3,64,OK
1907,83277,1,0,1,83277,1,3,2,OK
1909,1,1,5,6,83408,1,3,64,OK
1911,83539,1,0,1,83539,1,3,2,OK
1913,289,1,1,2,83670,1,3,4,OK
1915,83801,1,0,1,83801,1,3,2,OK
1917,83933,1,0,1,83933,1,3,2,OK
1919,289,1,1,2,84064,1,3,4,OK
1921,84195,1,0,1,84195,1,3,2,OK
1923,84327,1,0,1,84327,1,3,2,OK
1925,84459,1,0,1,84459,1,3,2,OK
1927,17,1,2,3,84590,1,3,8,OK
1929,291,1,1,2,84722,1,3,4,OK
1931,291,1,1,2,84854,1,3,4,OK
1933,291,1,1,2,84986,1,3,4,OK
1935,291,1,1,2,85118,1,3,4,OK
1937,291,1,1,2,85250,1,3,4,OK
1939,17,1,2,3,85382,1,3,8,OK
1941,17,1,2,3,85514,1,3,8,OK
1943,17,1,2,3,85646,1,3,8,OK
1945,17,1,2,3,85778,1,3,8,OK
1947,85911,1,0,1,85911,1,3,2,OK
1949,86043,1,0,1,86043,1,3,2,OK
1951,86175,1,0,1,86175,1,3,2,OK
1953,293,1,1,2,86308,1,3,4,OK
1955,86441,1,0,1,86441,1,3,2,OK
1957,86573,1,0,1,86573,1,3,2,OK
1959,17,1,2,3,86706,1,3,8,OK
1961,86839,1,0,1,86839,1,3,2,OK
1963,17,1,2,3,86972,1,3,8,OK
1965,87105,1,0,1,87105,1,3,2,OK
1967,295,1,1,2,87238,1,3,4,OK
1969,87371,1,0,1,87371,1,3,2,OK
1971,295,1,1,2,87504,1,3,4,OK
1973,87637,1,0,1,87637,1,3,2,OK
1975,17,1,2,3,87770,1,3,8,OK
1977,17,1,2,3,87904,1,3,8,OK
1979,88037,1,0,1,88037,1,3,2,OK
1981,88171,1,0,1,88171,1,3,2,OK
1983,297,1,1,2,88304,1,3,4,OK
1985,297,1,1,2,88438,1,3,4,OK
1987,297,1,1,2,88572,1,3,4,OK
1989,88705,1,0,1,88705,1,3,2,OK
1991,88839,1,0,1,88839,1,3,2,OK
1993,88973,1,0,1,88973,1,3,2,OK
1995,89107,1,0,1,89107,1,3,2,OK
1997,89241,1,0,1,89241,1,3,2,OK
