root,parent,child,inverse_letter,even_remainder,child_minus_parent,mod3_class,depth,validation_status
135,135,18226,E,1,18091,0,1,ok
135,135,18494,E,269,18359,0,1,ok
136,136,18496,E,0,18360,1,1,ok
136,136,18768,E,272,18632,1,1,ok
137,137,18770,E,1,18633,2,1,ok
137,137,19042,E,273,18905,2,1,ok
138,138,19044,E,0,18906,0,1,ok
138,138,19320,E,276,19182,0,1,ok
139,139,19322,E,1,19183,1,1,ok
139,139,19598,E,277,19459,1,1,ok
140,140,19600,E,0,19460,2,1,ok
140,140,19880,E,280,19740,2,1,ok
140,140,27,O,,-113,2,1,ok
141,141,19882,E,1,19741,0,1,ok
141,141,20162,E,281,20021,0,1,ok
142,142,20164,E,0,20022,1,1,ok
142,142,20448,E,284,20306,1,1,ok
143,143,20450,E,1,20307,2,1,ok
143,143,20734,E,285,20591,2,1,ok
144,144,20736,E,0,20592,0,1,ok
144,144,21024,E,288,20880,0,1,ok
145,145,21026,E,1,20881,1,1,ok
145,145,21314,E,289,21169,1,1,ok
146,146,21316,E,0,21170,2,1,ok
146,146,21608,E,292,21462,2,1,ok
147,147,21610,E,1,21463,0,1,ok
147,147,21902,E,293,21755,0,1,ok
148,148,21904,E,0,21756,1,1,ok
148,148,22200,E,296,22052,1,1,ok
149,149,22202,E,1,22053,2,1,ok
149,149,22498,E,297,22349,2,1,ok
150,150,22500,E,0,22350,0,1,ok
150,150,22800,E,300,22650,0,1,ok
151,151,22802,E,1,22651,1,1,ok
151,151,23102,E,301,22951,1,1,ok
152,152,23104,E,0,22952,2,1,ok
152,152,23408,E,304,23256,2,1,ok
153,153,23410,E,1,23257,0,1,ok
153,153,23714,E,305,23561,0,1,ok
154,154,23716,E,0,23562,1,1,ok
154,154,24024,E,308,23870,1,1,ok
155,155,24026,E,1,23871,2,1,ok
155,155,24334,E,309,24179,2,1,ok
156,156,24336,E,0,24180,0,1,ok
156,156,24648,E,312,24492,0,1,ok
156,156,29,O,,-127,0,1,ok
157,157,24650,E,1,24493,1,1,ok
157,157,24962,E,313,24805,1,1,ok
158,158,24964,E,0,24806,2,1,ok
158,158,25280,E,316,25122,2,1,ok
159,159,25282,E,1,25123,0,1,ok
159,159,25598,E,317,25439,0,1,ok
160,160,25600,E,0,25440,1,1,ok
160,160,25920,E,320,25760,1,1,ok
161,161,25922,E,1,25761,2,1,ok
161,161,26242,E,321,26081,2,1,ok
162,162,26244,E,0,26082,0,1,ok
162,162,26568,E,324,26406,0,1,ok
163,163,26570,E,1,26407,1,1,ok
163,163,26894,E,325,26731,1,1,ok
164,164,26896,E,0,26732,2,1,ok
164,164,27224,E,328,27060,2,1,ok
165,165,27226,E,1,27061,0,1,ok
165,165,27554,E,329,27389,0,1,ok
166,166,27556,E,0,27390,1,1,ok
166,166,27888,E,332,27722,1,1,ok
167,167,27890,E,1,27723,2,1,ok
167,167,28222,E,333,28055,2,1,ok
168,168,28224,E,0,28056,0,1,ok
168,168,28560,E,336,28392,0,1,ok
169,169,28562,E,1,28393,1,1,ok
169,169,28898,E,337,28729,1,1,ok
170,170,28900,E,0,28730,2,1,ok
170,170,29240,E,340,29070,2,1,ok
171,171,29242,E,1,29071,0,1,ok
171,171,29582,E,341,29411,0,1,ok
172,172,29584,E,0,29412,1,1,ok
172,172,29928,E,344,29756,1,1,ok
172,172,31,O,,-141,1,1,ok
173,173,29930,E,1,29757,2,1,ok
173,173,30274,E,345,30101,2,1,ok
174,174,30276,E,0,30102,0,1,ok
174,174,30624,E,348,30450,0,1,ok
175,175,30626,E,1,30451,1,1,ok
175,175,30974,E,349,30799,1,1,ok
176,176,30976,E,0,30800,2,1,ok
176,176,31328,E,352,31152,2,1,ok
177,177,31330,E,1,31153,0,1,ok
177,177,31682,E,353,31505,0,1,ok
178,178,31684,E,0,31506,1,1,ok
178,178,32040,E,356,31862,1,1,ok
179,179,32042,E,1,31863,2,1,ok
179,179,32398,E,357,32219,2,1,ok
180,180,32400,E,0,32220,0,1,ok
180,180,32760,E,360,32580,0,1,ok
181,181,32762,E,1,32581,1,1,ok
181,181,33122,E,361,32941,1,1,ok
182,182,33124,E,0,32942,2,1,ok
182,182,33488,E,364,33306,2,1,ok
183,183,33490,E,1,33307,0,1,ok
183,183,33854,E,365,33671,0,1,ok
184,184,33856,E,0,33672,1,1,ok
184,184,34224,E,368,34040,1,1,ok
185,185,34226,E,1,34041,2,1,ok
185,185,34594,E,369,34409,2,1,ok
186,186,34596,E,0,34410,0,1,ok
186,186,34968,E,372,34782,0,1,ok
187,187,34970,E,1,34783,1,1,ok
187,187,35342,E,373,35155,1,1,ok
188,188,35344,E,0,35156,2,1,ok
188,188,35720,E,376,35532,2,1,ok
189,189,35722,E,1,35533,0,1,ok
189,189,36098,E,377,35909,0,1,ok
189,189,33,O,,-156,0,1,ok
190,190,36100,E,0,35910,1,1,ok
190,190,36480,E,380,36290,1,1,ok
191,191,36482,E,1,36291,2,1,ok
191,191,36862,E,381,36671,2,1,ok
192,192,36864,E,0,36672,0,1,ok
192,192,37248,E,384,37056,0,1,ok
193,193,37250,E,1,37057,1,1,ok
193,193,37634,E,385,37441,1,1,ok
194,194,37636,E,0,37442,2,1,ok
194,194,38024,E,388,37830,2,1,ok
195,195,38026,E,1,37831,0,1,ok
195,195,38414,E,389,38219,0,1,ok
196,196,38416,E,0,38220,1,1,ok
196,196,38808,E,392,38612,1,1,ok
197,197,38810,E,1,38613,2,1,ok
197,197,39202,E,393,39005,2,1,ok
198,198,39204,E,0,39006,0,1,ok
198,198,39600,E,396,39402,0,1,ok
199,199,39602,E,1,39403,1,1,ok
199,199,39998,E,397,39799,1,1,ok
200,200,40000,E,0,39800,2,1,ok
200,200,40400,E,400,40200,2,1,ok
201,201,40402,E,1,40201,0,1,ok
