m,c_m,lower_n,upper_n,odd_count,even_count,exact_status
125,1,25,25,1,0,ODD_CELL_UNIQUE
126,0,,,0,0,ODD_CELL_UNIQUE
127,0,,,0,0,ODD_CELL_UNIQUE
128,0,,,0,0,ODD_CELL_UNIQUE
129,0,,,0,0,ODD_CELL_UNIQUE
130,0,,,0,0,ODD_CELL_UNIQUE
131,0,,,0,0,ODD_CELL_UNIQUE
132,0,26,26,0,1,ODD_CELL_UNIQUE
133,0,,,0,0,ODD_CELL_UNIQUE
134,0,,,0,0,ODD_CELL_UNIQUE
135,0,,,0,0,ODD_CELL_UNIQUE
136,0,,,0,0,ODD_CELL_UNIQUE
137,0,,,0,0,ODD_CELL_UNIQUE
138,0,,,0,0,ODD_CELL_UNIQUE
139,0,,,0,0,ODD_CELL_UNIQUE
140,1,27,27,1,0,ODD_CELL_UNIQUE
141,0,,,0,0,ODD_CELL_UNIQUE
142,0,,,0,0,ODD_CELL_UNIQUE
143,0,,,0,0,ODD_CELL_UNIQUE
144,0,,,0,0,ODD_CELL_UNIQUE
145,0,,,0,0,ODD_CELL_UNIQUE
146,0,,,0,0,ODD_CELL_UNIQUE
147,0,,,0,0,ODD_CELL_UNIQUE
148,0,28,28,0,1,ODD_CELL_UNIQUE
149,0,,,0,0,ODD_CELL_UNIQUE
150,0,,,0,0,ODD_CELL_UNIQUE
151,0,,,0,0,ODD_CELL_UNIQUE
152,0,,,0,0,ODD_CELL_UNIQUE
153,0,,,0,0,ODD_CELL_UNIQUE
154,0,,,0,0,ODD_CELL_UNIQUE
155,0,,,0,0,ODD_CELL_UNIQUE
156,1,29,29,1,0,ODD_CELL_UNIQUE
157,0,,,0,0,ODD_CELL_UNIQUE
158,0,,,0,0,ODD_CELL_UNIQUE
159,0,,,0,0,ODD_CELL_UNIQUE
160,0,,,0,0,ODD_CELL_UNIQUE
161,0,,,0,0,ODD_CELL_UNIQUE
162,0,,,0,0,ODD_CELL_UNIQUE
163,0,,,0,0,ODD_CELL_UNIQUE
164,0,30,30,0,1,ODD_CELL_UNIQUE
165,0,,,0,0,ODD_CELL_UNIQUE
166,0,,,0,0,ODD_CELL_UNIQUE
167,0,,,0,0,ODD_CELL_UNIQUE
168,0,,,0,0,ODD_CELL_UNIQUE
169,0,,,0,0,ODD_CELL_UNIQUE
170,0,,,0,0,ODD_CELL_UNIQUE
171,0,,,0,0,ODD_CELL_UNIQUE
172,1,31,31,1,0,ODD_CELL_UNIQUE
173,0,,,0,0,ODD_CELL_UNIQUE
174,0,,,0,0,ODD_CELL_UNIQUE
175,0,,,0,0,ODD_CELL_UNIQUE
176,0,,,0,0,ODD_CELL_UNIQUE
177,0,,,0,0,ODD_CELL_UNIQUE
178,0,,,0,0,ODD_CELL_UNIQUE
179,0,,,0,0,ODD_CELL_UNIQUE
180,0,,,0,0,ODD_CELL_UNIQUE
181,0,32,32,0,1,ODD_CELL_UNIQUE
182,0,,,0,0,ODD_CELL_UNIQUE
183,0,,,0,0,ODD_CELL_UNIQUE
184,0,,,0,0,ODD_CELL_UNIQUE
185,0,,,0,0,ODD_CELL_UNIQUE
186,0,,,0,0,ODD_CELL_UNIQUE
187,0,,,0,0,ODD_CELL_UNIQUE
188,0,,,0,0,ODD_CELL_UNIQUE
189,1,33,33,1,0,ODD_CELL_UNIQUE
190,0,,,0,0,ODD_CELL_UNIQUE
191,0,,,0,0,ODD_CELL_UNIQUE
192,0,,,0,0,ODD_CELL_UNIQUE
193,0,,,0,0,ODD_CELL_UNIQUE
194,0,,,0,0,ODD_CELL_UNIQUE
195,0,,,0,0,ODD_CELL_UNIQUE
196,0,,,0,0,ODD_CELL_UNIQUE
197,0,,,0,0,ODD_CELL_UNIQUE
198,0,34,34,0,1,ODD_CELL_UNIQUE
199,0,,,0,0,ODD_CELL_UNIQUE
200,0,,,0,0,ODD_CELL_UNIQUE
201,0,,,0,0,ODD_CELL_UNIQUE
202,0,,,0,0,ODD_CELL_UNIQUE
203,0,,,0,0,ODD_CELL_UNIQUE
204,0,,,0,0,ODD_CELL_UNIQUE
205,0,,,0,0,ODD_CELL_UNIQUE
206,0,,,0,0,ODD_CELL_UNIQUE
207,1,35,35,1,0,ODD_CELL_UNIQUE
208,0,,,0,0,ODD_CELL_UNIQUE
209,0,,,0,0,ODD_CELL_UNIQUE
210,0,,,0,0,ODD_CELL_UNIQUE
211,0,,,0,0,ODD_CELL_UNIQUE
212,0,,,0,0,ODD_CELL_UNIQUE
213,0,,,0,0,ODD_CELL_UNIQUE
214,0,,,0,0,ODD_CELL_UNIQUE
215,0,,,0,0,ODD_CELL_UNIQUE
216,0,36,36,0,1,ODD_CELL_UNIQUE
217,0,,,0,0,ODD_CELL_UNIQUE
218,0,,,0,0,ODD_CELL_UNIQUE
219,0,,,0,0,ODD_CELL_UNIQUE
220,0,,,0,0,ODD_CELL_UNIQUE
221,0,,,0,0,ODD_CELL_UNIQUE
222,0,,,0,0,ODD_CELL_UNIQUE
223,0,,,0,0,ODD_CELL_UNIQUE
224,0,,,0,0,ODD_CELL_UNIQUE
225,1,37,37,1,0,ODD_CELL_UNIQUE
226,0,,,0,0,ODD_CELL_UNIQUE
227,0,,,0,0,ODD_CELL_UNIQUE
228,0,,,0,0,ODD_CELL_UNIQUE
229,0,,,0,0,ODD_CELL_UNIQUE
230,0,,,0,0,ODD_CELL_UNIQUE
231,0,,,0,0,ODD_CELL_UNIQUE
232,0,,,0,0,ODD_CELL_UNIQUE
233,0,,,0,0,ODD_CELL_UNIQUE
234,0,38,38,0,1,ODD_CELL_UNIQUE
235,0,,,0,0,ODD_CELL_UNIQUE
236,0,,,0,0,ODD_CELL_UNIQUE
237,0,,,0,0,ODD_CELL_UNIQUE
238,0,,,0,0,ODD_CELL_UNIQUE
239,0,,,0,0,ODD_CELL_UNIQUE
240,0,,,0,0,ODD_CELL_UNIQUE
241,0,,,0,0,ODD_CELL_UNIQUE
242,0,,,0,0,ODD_CELL_UNIQUE
243,1,39,39,1,0,ODD_CELL_UNIQUE
244,0,,,0,0,ODD_CELL_UNIQUE
245,0,,,0,0,ODD_CELL_UNIQUE
246,0,,,0,0,ODD_CELL_UNIQUE
247,0,,,0,0,ODD_CELL_UNIQUE
248,0,,,0,0,ODD_CELL_UNIQUE
249,0,,,0,0,ODD_CELL_UNIQUE
250,0,,,0,0,ODD_CELL_UNIQUE
251,0,,,0,0,ODD_CELL_UNIQUE
252,0,40,40,0,1,ODD_CELL_UNIQUE
253,0,,,0,0,ODD_CELL_UNIQUE
254,0,,,0,0,ODD_CELL_UNIQUE
255,0,,,0,0,ODD_CELL_UNIQUE
256,0,,,0,0,ODD_CELL_UNIQUE
257,0,,,0,0,ODD_CELL_UNIQUE
258,0,,,0,0,ODD_CELL_UNIQUE
259,0,,,0,0,ODD_CELL_UNIQUE
260,0,,,0,0,ODD_CELL_UNIQUE
261,0,,,0,0,ODD_CELL_UNIQUE
262,1,41,41,1,0,ODD_CELL_UNIQUE
263,0,,,0,0,ODD_CELL_UNIQUE
264,0,,,0,0,ODD_CELL_UNIQUE
265,0,,,0,0,ODD_CELL_UNIQUE
266,0,,,0,0,ODD_CELL_UNIQUE
267,0,,,0,0,ODD_CELL_UNIQUE
268,0,,,0,0,ODD_CELL_UNIQUE
269,0,,,0,0,ODD_CELL_UNIQUE
270,0,,,0,0,ODD_CELL_UNIQUE
271,0,,,0,0,ODD_CELL_UNIQUE
272,0,42,42,0,1,ODD_CELL_UNIQUE
273,0,,,0,0,ODD_CELL_UNIQUE
274,0,,,0,0,ODD_CELL_UNIQUE
275,0,,,0,0,ODD_CELL_UNIQUE
276,0,,,0,0,ODD_CELL_UNIQUE
277,0,,,0,0,ODD_CELL_UNIQUE
278,0,,,0,0,ODD_CELL_UNIQUE
279,0,,,0,0,ODD_CELL_UNIQUE
280,0,,,0,0,ODD_CELL_UNIQUE
281,1,43,43,1,0,ODD_CELL_UNIQUE
282,0,,,0,0,ODD_CELL_UNIQUE
283,0,,,0,0,ODD_CELL_UNIQUE
284,0,,,0,0,ODD_CELL_UNIQUE
285,0,,,0,0,ODD_CELL_UNIQUE
286,0,,,0,0,ODD_CELL_UNIQUE
287,0,,,0,0,ODD_CELL_UNIQUE
288,0,,,0,0,ODD_CELL_UNIQUE
289,0,,,0,0,ODD_CELL_UNIQUE
290,0,,,0,0,ODD_CELL_UNIQUE
291,0,44,44,0,1,ODD_CELL_UNIQUE
292,0,,,0,0,ODD_CELL_UNIQUE
293,0,,,0,0,ODD_CELL_UNIQUE
294,0,,,0,0,ODD_CELL_UNIQUE
295,0,,,0,0,ODD_CELL_UNIQUE
296,0,,,0,0,ODD_CELL_UNIQUE
297,0,,,0,0,ODD_CELL_UNIQUE
298,0,,,0,0,ODD_CELL_UNIQUE
299,0,,,0,0,ODD_CELL_UNIQUE
300,0,,,0,0,ODD_CELL_UNIQUE
301,1,45,45,1,0,ODD_CELL_UNIQUE
302,0,,,0,0,ODD_CELL_UNIQUE
303,0,,,0,0,ODD_CELL_UNIQUE
304,0,,,0,0,ODD_CELL_UNIQUE
305,0,,,0,0,ODD_CELL_UNIQUE
306,0,,,0,0,ODD_CELL_UNIQUE
307,0,,,0,0,ODD_CELL_UNIQUE
308,0,,,0,0,ODD_CELL_UNIQUE
309,0,,,0,0,ODD_CELL_UNIQUE
310,0,,,0,0,ODD_CELL_UNIQUE
311,0,46,46,0,1,ODD_CELL_UNIQUE
312,0,,,0,0,ODD_CELL_UNIQUE
313,0,,,0,0,ODD_CELL_UNIQUE
314,0,,,0,0,ODD_CELL_UNIQUE
315,0,,,0,0,ODD_CELL_UNIQUE
316,0,,,0,0,ODD_CELL_UNIQUE
317,0,,,0,0,ODD_CELL_UNIQUE
318,0,,,0,0,ODD_CELL_UNIQUE
319,0,,,0,0,ODD_CELL_UNIQUE
320,0,,,0,0,ODD_CELL_UNIQUE
321,0,,,0,0,ODD_CELL_UNIQUE
322,1,47,47,1,0,ODD_CELL_UNIQUE
323,0,,,0,0,ODD_CELL_UNIQUE
324,0,,,0,0,ODD_CELL_UNIQUE
325,0,,,0,0,ODD_CELL_UNIQUE
326,0,,,0,0,ODD_CELL_UNIQUE
327,0,,,0,0,ODD_CELL_UNIQUE
328,0,,,0,0,ODD_CELL_UNIQUE
329,0,,,0,0,ODD_CELL_UNIQUE
330,0,,,0,0,ODD_CELL_UNIQUE
331,0,,,0,0,ODD_CELL_UNIQUE
332,0,48,48,0,1,ODD_CELL_UNIQUE
333,0,,,0,0,ODD_CELL_UNIQUE
334,0,,,0,0,ODD_CELL_UNIQUE
335,0,,,0,0,ODD_CELL_UNIQUE
336,0,,,0,0,ODD_CELL_UNIQUE
337,0,,,0,0,ODD_CELL_UNIQUE
338,0,,,0,0,ODD_CELL_UNIQUE
339,0,,,0,0,ODD_CELL_UNIQUE
340,0,,,0,0,ODD_CELL_UNIQUE
341,0,,,0,0,ODD_CELL_UNIQUE
342,0,,,0,0,ODD_CELL_UNIQUE
343,1,49,49,1,0,ODD_CELL_UNIQUE
344,0,,,0,0,ODD_CELL_UNIQUE
345,0,,,0,0,ODD_CELL_UNIQUE
346,0,,,0,0,ODD_CELL_UNIQUE
347,0,,,0,0,ODD_CELL_UNIQUE
348,0,,,0,0,ODD_CELL_UNIQUE
349,0,,,0,0,ODD_CELL_UNIQUE
350,0,,,0,0,ODD_CELL_UNIQUE
351,0,,,0,0,ODD_CELL_UNIQUE
352,0,,,0,0,ODD_CELL_UNIQUE
353,0,50,50,0,1,ODD_CELL_UNIQUE
354,0,,,0,0,ODD_CELL_UNIQUE
355,0,,,0,0,ODD_CELL_UNIQUE
356,0,,,0,0,ODD_CELL_UNIQUE
357,0,,,0,0,ODD_CELL_UNIQUE
358,0,,,0,0,ODD_CELL_UNIQUE
359,0,,,0,0,ODD_CELL_UNIQUE
360,0,,,0,0,ODD_CELL_UNIQUE
361,0,,,0,0,ODD_CELL_UNIQUE
362,0,,,0,0,ODD_CELL_UNIQUE
363,0,,,0,0,ODD_CELL_UNIQUE
364,1,51,51,1,0,ODD_CELL_UNIQUE
365,0,,,0,0,ODD_CELL_UNIQUE
366,0,,,0,0,ODD_CELL_UNIQUE
367,0,,,0,0,ODD_CELL_UNIQUE
368,0,,,0,0,ODD_CELL_UNIQUE
369,0,,,0,0,ODD_CELL_UNIQUE
370,0,,,0,0,ODD_CELL_UNIQUE
371,0,,,0,0,ODD_CELL_UNIQUE
372,0,,,0,0,ODD_CELL_UNIQUE
373,0,,,0,0,ODD_CELL_UNIQUE
374,0,52,52,0,1,ODD_CELL_UNIQUE
375,0,,,0,0,ODD_CELL_UNIQUE
376,0,,,0,0,ODD_CELL_UNIQUE
377,0,,,0,0,ODD_CELL_UNIQUE
378,0,,,0,0,ODD_CELL_UNIQUE
379,0,,,0,0,ODD_CELL_UNIQUE
380,0,,,0,0,ODD_CELL_UNIQUE
381,0,,,0,0,ODD_CELL_UNIQUE
382,0,,,0,0,ODD_CELL_UNIQUE
383,0,,,0,0,ODD_CELL_UNIQUE
384,0,,,0,0,ODD_CELL_UNIQUE
385,1,53,53,1,0,ODD_CELL_UNIQUE
386,0,,,0,0,ODD_CELL_UNIQUE
387,0,,,0,0,ODD_CELL_UNIQUE
388,0,,,0,0,ODD_CELL_UNIQUE
389,0,,,0,0,ODD_CELL_UNIQUE
390,0,,,0,0,ODD_CELL_UNIQUE
391,0,,,0,0,ODD_CELL_UNIQUE
392,0,,,0,0,ODD_CELL_UNIQUE
393,0,,,0,0,ODD_CELL_UNIQUE
394,0,,,0,0,ODD_CELL_UNIQUE
395,0,,,0,0,ODD_CELL_UNIQUE
396,0,54,54,0,1,ODD_CELL_UNIQUE
397,0,,,0,0,ODD_CELL_UNIQUE
398,0,,,0,0,ODD_CELL_UNIQUE
399,0,,,0,0,ODD_CELL_UNIQUE
400,0,,,0,0,ODD_CELL_UNIQUE
401,0,,,0,0,ODD_CELL_UNIQUE
402,0,,,0,0,ODD_CELL_UNIQUE
403,0,,,0,0,ODD_CELL_UNIQUE
404,0,,,0,0,ODD_CELL_UNIQUE
405,0,,,0,0,ODD_CELL_UNIQUE
406,0,,,0,0,ODD_CELL_UNIQUE
407,1,55,55,1,0,ODD_CELL_UNIQUE
408,0,,,0,0,ODD_CELL_UNIQUE
409,0,,,0,0,ODD_CELL_UNIQUE
410,0,,,0,0,ODD_CELL_UNIQUE
411,0,,,0,0,ODD_CELL_UNIQUE
412,0,,,0,0,ODD_CELL_UNIQUE
413,0,,,0,0,ODD_CELL_UNIQUE
414,0,,,0,0,ODD_CELL_UNIQUE
415,0,,,0,0,ODD_CELL_UNIQUE
416,0,,,0,0,ODD_CELL_UNIQUE
417,0,,,0,0,ODD_CELL_UNIQUE
418,0,,,0,0,ODD_CELL_UNIQUE
419,0,56,56,0,1,ODD_CELL_UNIQUE
420,0,,,0,0,ODD_CELL_UNIQUE
421,0,,,0,0,ODD_CELL_UNIQUE
422,0,,,0,0,ODD_CELL_UNIQUE
423,0,,,0,0,ODD_CELL_UNIQUE
424,0,,,0,0,ODD_CELL_UNIQUE
425,0,,,0,0,ODD_CELL_UNIQUE
426,0,,,0,0,ODD_CELL_UNIQUE
427,0,,,0,0,ODD_CELL_UNIQUE
428,0,,,0,0,ODD_CELL_UNIQUE
429,0,,,0,0,ODD_CELL_UNIQUE
430,1,57,57,1,0,ODD_CELL_UNIQUE
431,0,,,0,0,ODD_CELL_UNIQUE
432,0,,,0,0,ODD_CELL_UNIQUE
433,0,,,0,0,ODD_CELL_UNIQUE
434,0,,,0,0,ODD_CELL_UNIQUE
435,0,,,0,0,ODD_CELL_UNIQUE
436,0,,,0,0,ODD_CELL_UNIQUE
