log10_L,count,sup_rho,inf_rho,sup_c,sup_eta,grew,declined,witness
11,466568,5.8994027605696335e+141,2.1557111644808514e-10,12.814453125000002,3.500503571987199e+295,132114,334454,"{""n"":66703,""L"":100557746225,""H"":954720326405252183397401153262972708188338206861734946019204057604694907305153326100993162913150382076698960851951012562828268662840553866467741253686184572462650443520549194780701280739418180011345615828558418610740455561041310548319254872153230449269726509666311355163494566097292,""L_next"":977097910347398186163716005447771772195322377476295925239765917685639270902787816726952140922535881593440604773222312693524328020352037143261,""r"":8,""rho"":9.7167841069262e+129,""c"":12.814453125000002,""eta"":9.494249446174401e+270}"
12,398723,1.1836084471897752e+142,2.093783274510347e-11,12.814453125000002,1.6627403820731282e+296,112095,286628,"{""n"":12932795,""L"":1002261190841,""H"":37326283960464811475767543357072174530967686293705532309220352027059929348187109584481378480724281212401743184375879144357936813890182733839322934111361347172841447009252847032378741488881593794165979796382290867307126181038001929928850451271358190622317376478656399167220029250174213926112080789357186928774,""L_next"":6109524037146004344687237874959573120367161704401041337807918581771849296821301132910297738168641757843564528071155338505871074501164447308725326596216527,""r"":8,""rho"":6.095740404773617e+141,""c"":12.814453125000002,""eta"":3.7242072527166523e+295}"
13,291196,3.8521025318727455e+105,4.3266496810335775e-12,8.542968750000002,1.5679747844674177e+225,81769,209427,"{""n"":186749,""L"":22022799690251,""H"":945118131888387022031575274099498032079483517207828734256877929025071323544680703767289102861839739521347717269589507579057943873025389715464555550135243902249785169113002059709301656163850196718691888663972519676951657390299648,""L_next"":972171863349473317820885994018302523115088869377930951615031995778750213717183841724811371647611662189742022811629,""r"":7,""rho"":4.4143881660052155e+100,""c"":8.542968750000002,""eta"":4.291543968893154e+214}"
14,133326,1.3883839172255248e+113,6.517329480252152e-14,8.542968750000002,1.9360862634429867e+241,37679,95647,"{""n"":180849,""L"":935465680676765,""H"":6223666510374123568809712623908490874945493183408971850831777257112003576129991360116607002452456822203841538719683074129170208391334628760088617609482584930479600994696709573729547392950402596005803646379272534935153925258760900635371409946562685271848362,""L_next"":78890218090547344923111322567796663162525953266370109482184366199576020644788005591019464369088099380289796129221516269712492955,""r"":7,""rho"":8.43325626157381e+112,""c"":8.542968750000002,""eta"":6.653014256890319e+240}"
15,152124,4.802491161434082e+120,3.712083176229592e-15,8.542968750000002,2.321363172748209e+257,42517,109607,"{""n"":195305,""L"":1164482490037251,""H"":262425579635431560561728998030055977236770177988326861835775851531382913414667690720009542335811013116551189593421920492046477116758218819967806723148309898687395756943739023343249446149030941806653585197354740288895837689249659202496120895102345745182677460,""L_next"":512274906310500007651476435270176060887217462768480861352415059120578298669046974549163014973010795157453038662581798346817247937,""r"":7,""rho"":4.399163668782282e+113,""c"":8.542968750000002,""eta"":2.253581156269999e+242}"
16,130370,1.6910581330781915e+128,3.6443856457415624e-15,8.542968750000002,2.8576616153377267e+273,36813,93557,"{""n"":71889,""L"":41196881877112181,""H"":75951051553472910610105244998428384376283370092302698760209594682568942378029068684458112606433478777306644053496761545457580423329474754304007121518852993463140122333398740852305779778398654285962158751839212311946641391257108095176381800189753461701826861399911527380938462610273160,""L_next"":8714990048960062387508048546799713454240792986549176157671051556353668955746547466600102869073452473383109852765970662211344160777407416356555,""r"":7,""rho"":2.1154489494997106e+125,""c"":8.542968750000002,""eta"":1.8436116543972995e+267}"
17,205998,5.76068335549195e+135,4.575788256393017e-16,8.542968750000002,3.4765519161573966e+289,57943,148055,"{""n"":797929,""L"":108658705775947923,""H"":1194355927942310182632339300231509716522139171801549831666631734572706903707235357470730275759946682639682769932249908653771404781203948567408962359961077831077980519984205762308438981122093624365238789810191239044359564572199097169052056669741530334408340996787421130245360035353464504964246,""L_next"":34559454971719536402303720919946297587144120291546059677861086663094866819663920584168334077289341628479680767265386877986494605859651590907694031,""r"":7,""rho"":3.1805509484882364e+128,""c"":8.542968750000002,""eta"":1.0991810728953907e+274}"
18,183666,1.2056247842922452e+136,6.851642147297189e-18,8.542968750000002,1.5967142106953936e+290,50697,132969,"{""n"":2112709,""L"":1025579311849936259,""H"":54236911065186756561061556354050875669231590308959062900086468769198497496989511918361593884715054690851942975860266545418788756111441115135705586232347144020757415647778633468219381262468372838233845633222632899222669548131287983345074210362771171159155772980439933378997391190081896456990571028814164326428,""L_next"":7364571342935497461855289123011742802226442651771187247836331168716044109643071822575893879173683286144357443706800290447407328959742507021335250530903363,""r"":7,""rho"":7.180889140257042e+135,""c"":8.542968750000002,""eta"":5.288417037913373e+289}"
19,113629,7.824033358836189e+93,1.1317599895390558e-18,5.695312500000001,6.344031202547304e+207,31260,82369,"{""n"":12103,""L"":41687675000807435801,""H"":30489472880910201037176742153501164399647167621422593450408368792462955791878439697921087104966194914274311441002857942849052058111654803341257185734266229312788135572890255624066928507179009654163491065010944887919619043208,""L_next"":5521727345759676409882534131696532400758552078044739966919952547051063183016546590946135388994106779854321851905,""r"":6,""rho"":1.3245467264971548e+92,""c"":5.695312500000001,""eta"":7.313785880435802e+203}"
20,130907,3.953862133021665e+98,2.993731215050605e-19,5.695312500000001,1.5598251325211051e+218,36434,94473,"{""n"":198337,""L"":129891228649712147851,""H"":12771596592284299096998503931164305865647049323889846545032534322048250108006161630096516484579369028105412672449318240985197026656234827898410048715587709689149689689484980794986503877542862717389776095699073980422995216283006242,""L_next"":3573737062555707818423952751298802327045487205768648997924200612393839298812589529954602529611150443092080458001311,""r"":6,""rho"":2.7513305553474166e+94,""c"":5.695312500000001,""eta"":9.83253197698704e+208}"
21,59061,1.9521180991783735e+103,3.824716265508223e-20,5.695312500000001,3.884730151290647e+228,16132,42929,"{""n"":352923,""L"":1158370136560091293501,""H"":851895356793957450022342030186551436660626664165414308684757134496825443860507017391199377883306914095771956181500512268699027564472907546344298452824931137117505459099006277843287617904847234857144498579756757259587398193708763270093056474,""L_next"":922981774898051521663008209426087179376891206826254226265172013437717054555401346506531118414078976786587295354353835013,""r"":6,""rho"":7.967934822965554e+98,""c"":5.695312500000001,""eta"":7.354258625172738e+218}"
22,75441,9.769252227666874e+107,1.6901563343160525e-21,5.695312500000001,9.532947904621051e+238,20771,54670,"{""n"":742313,""L"":39263776607824295101523,""H"":228923788109798276145123635532171782371275645129195980089388472792130590095139131665195116562630749320879256595495044888418853696812297020406700485973687646438343311650547131286120559413698881327514492871915075223248933781790187399689038651102264785510328358,""L_next"":478459808249134209495665497143640577231772465716348664582506379204893289461550398049304023955231691852749581137247571644809708839,""r"":6,""rho"":1.2185781643678899e+106,""c"":5.695312500000001,""eta"":5.830406748600425e+234}"
23,64929,4.740807669858686e+112,2.2089808116325895e-22,5.695312500000001,2.3460607990794543e+249,17985,46944,"{""n"":1330791,""L"":371295206080905101961729,""H"":29773807713585532923581126113344867626998981418662408670872748963792930768904680061266068107579144333820223998156901841078196031779333276693984541725159227026150285647963505993952642512284109690765747211463737911353800535017174552278908149667418577024964645761049917794,""L_next"":172550884418439110252514954152389338697337478816029163125895252263329699790247098018603066548581009205475629755196605454486498651275041,""r"":6,""rho"":4.647269385450679e+110,""c"":5.695312500000001,""eta"":8.018904425902507e+244}"
24,54483,2.400615745515265e+117,2.83121518244024e-23,5.695312500000001,5.755923542386983e+259,15188,39295,"{""n"":25499,""L"":1403146750582450875251911,""H"":112355979420364113864703345918179034603062376635945854469634710155861880756893249607840133677524241028739043394892392178248081662907020779747759939552634817067583910972787437904924286568131403907124396916753931655527196490743462554759584119652599422483240813177435796866767060,""L_next"":335195434665157863430604431554715656471491990697800776143923565126828094474290901898252378884040727870448211311133899790726071937710566933,""r"":6,""rho"":2.3888836611424793e+113,""c"":5.695312500000001,""eta"":8.00742897161147e+250}"
25,70032,1.1368398587591196e+122,3.2125172744232015e-24,5.695312500000001,1.3791631745801435e+270,19196,50836,"{""n"":818485,""L"":18085599878220608966943581,""H"":497516826271612017267342258782574942336880056753847493623824579930288354790746017754172860927927526972604765443033978703490499296279903071949357335087962378333885064346737799086485436870867372069614709374700069738599399773891198436892168875302264418346131709593957325459741437216812477488,""L_next"":705348726710137343299778790862739195749944654297905678860038105095890290863437367552073235465625094751306414054311234936934243418827949773347529,""r"":6,""rho"":3.900057125335091e+118,""c"":5.695312500000001,""eta"":2.750900327451905e+262}"
26,82369,5.856653201824533e+126,3.7879794145959593e-25,5.695312500000001,3.5004285192363474e+280,22780,59589,"{""n"":81963,""L"":366013146232205007894444561,""H"":375689814328662492942713430443935869231903786239758928324722647807973911986854855715867938382720764014095754166608242315152575075581211336215327840999607345493295535051037638396427375214032401907622330667088580903266113440639008041253529906542833936125843827229085175842391085589029633901464266998930318,""L_next"":19382719477118335804713649034081272700631337463048216656279102021419285218844530462711525718783279018574703428059047176809869140128211677917582874412593,""r"":6,""rho"":5.295634781604704e+124,""c"":5.695312500000001,""eta"":1.026438034251148e+276}"
27,86949,1.1282362116583053e+127,4.515510868768384e-26,5.695312500000001,1.555027512004439e+281,23201,63748,"{""n"":10521843,""L"":1061112961063163813294855591,""H"":69233445401373372734620629917681750090870207569467787861319009932494773500244669202391611471398602586791176578358264203591462609983630083544791012440848656825218308844254337868048904431321760170270780018312828890432120430238551407986137203883443081090719509991341993679899546874532656907163607764614322147140,""L_next"":8320663759663250130810911979652142691418601003764016945813661635218981687808214166324773848852460382582305203806509034172985666654854876646463214103613265,""r"":6,""rho"":7.841449558137999e+126,""c"":5.695312500000001,""eta"":6.5246065161626255e+280}"
28,40352,1.2840673319279423e+81,5.237527548149809e-27,3.7968750000000004,1.6477606844733905e+191,10678,29674,"{""n"":3431,""L"":46663695195492521653810514711,""H"":50706104013917114554357305639677173526607409495500104961413306013572943748468989456591743729101788830276923873922109669065753625325730612577963446841616230989842276212343001172697753674498158055753934388123850064308980,""L_next"":7120821863655705476459786280137269190597406410093201301544513213264308038570810313042140104440196186926413233,""r"":5,""rho"":1.5259875656704402e+80,""c"":3.7968750000000004,""eta"":1.0866285621292818e+189}"
29,51759,7.862320322236045e+83,6.859574764468481e-28,3.796875000000001,6.491277322202828e+197,13763,37996,"{""n"":1241275,""L"":192129713158836010115589868001,""H"":2356654925617397196229710354441839090592390283887799070683082161498422781926153254390345628546761783207327726819256016831233435477324683825445855538850453570422298160533807298484048168648404571107610132375133328007351280452,""L_next"":1535140034530204412592562756170429782050871678045353388148943400692812613537411112123391025856652117814422073707,""r"":5,""rho"":7.990122971042407e+81,""c"":3.796875000000001,""eta"":1.2265957653666621e+193}"
30,59079,5.027091018288803e+86,8.110003385822941e-29,3.796875000000001,2.523405069336541e+204,15642,43437,"{""n"":4203465,""L"":1632630075828146480511488334439,""H"":26860659755890065593935286798626726210606377020963724108745187137149796791947003380377338594264578180515449892958179315665203429605621695987869165412807209577376334279648713117763703681528987428943064548243434467787281119205324740,""L_next"":5182727057822943621228985992779558547900717946653451030681382178739457802278232173736080188220522497480918827236207,""r"":5,""rho"":3.1744650147976855e+84,""c"":3.796875000000001,""eta"":1.6452385726304276e+199}"
31,33381,2.9604845894178873e+89,2.2497966742892024e-30,3.796875000000001,9.763462912786797e+210,8946,24435,"{""n"":4339199,""L"":78621289293522324884980041348427,""H"":160974876644640653381276782212770986591029631683726458933456304251558103744020306501621266030933692680794138916740898493219389026797109313372105084763053767163528169474715105062044129325154914465791858070733623870703474386000205574731039383890,""L_next"":12687587502935325702095084870760141896833949124575162120574251141651841165547279547571689105942508305937426205663342152787,""r"":5,""rho"":1.6137597865595758e+89,""c"":3.796875000000001,""eta"":2.0474718500692853e+210}"
32,29017,1.9794436987398261e+92,1.2606419572796462e-30,3.796875000000001,3.9171270536449094e+217,7779,21238,"{""n"":564501,""L"":572173773599641319253466814012085,""H"":565558912498865241482071823153706296720562749889484572782672348843529015681774613205727342306332425990838505735672289756698407874757258272178499823949964260348707597297505305783282117200165339759377112964453417807082739835151030516408449945837673898,""L_next"":23781482554686645134327573293755606905971455304508062357044972952540976599181615357283910026733833636881393456296721233188929,""r"":5,""rho"":4.156339149393958e+91,""c"":3.796875000000001,""eta"":9.884390697267355e+215}"
