n,output,branch,defect,gcd_n_output,gcd_n_defect,gcd_output_defect,exact_equation_class
406,20,E,6,2,2,2,DELTA_6
408,20,E,8,4,8,4,DELTA_8
410,20,E,10,10,10,10,DELTA_10
412,20,E,12,4,4,4,DELTA_12
414,20,E,14,2,2,2,DELTA_14
416,20,E,16,4,16,4,DELTA_16
441,9261,O,0,441,441,9261,SQUARE
442,21,E,1,1,1,1,DELTA_1
444,21,E,3,3,3,3,DELTA_3
446,21,E,5,1,1,1,DELTA_5
448,21,E,7,7,7,7,DELTA_7
450,21,E,9,3,9,3,DELTA_9
452,21,E,11,1,1,1,DELTA_11
454,21,E,13,1,1,1,DELTA_13
456,21,E,15,3,3,3,DELTA_15
484,22,E,0,22,484,22,SQUARE
486,22,E,2,2,2,2,DELTA_2
488,22,E,4,2,4,2,DELTA_4
490,22,E,6,2,2,2,DELTA_6
492,22,E,8,2,4,2,DELTA_8
494,22,E,10,2,2,2,DELTA_10
496,22,E,12,2,4,2,DELTA_12
498,22,E,14,2,2,2,DELTA_14
500,22,E,16,2,4,2,DELTA_16
529,12167,O,0,529,529,12167,SQUARE
530,23,E,1,1,1,1,DELTA_1
532,23,E,3,1,1,1,DELTA_3
534,23,E,5,1,1,1,DELTA_5
536,23,E,7,1,1,1,DELTA_7
538,23,E,9,1,1,1,DELTA_9
540,23,E,11,1,1,1,DELTA_11
542,23,E,13,1,1,1,DELTA_13
544,23,E,15,1,1,1,DELTA_15
576,24,E,0,24,576,24,SQUARE
578,24,E,2,2,2,2,DELTA_2
580,24,E,4,4,4,4,DELTA_4
582,24,E,6,6,6,6,DELTA_6
584,24,E,8,8,8,8,DELTA_8
586,24,E,10,2,2,2,DELTA_10
588,24,E,12,12,12,12,DELTA_12
590,24,E,14,2,2,2,DELTA_14
592,24,E,16,8,16,8,DELTA_16
625,15625,O,0,625,625,15625,SQUARE
626,25,E,1,1,1,1,DELTA_1
628,25,E,3,1,1,1,DELTA_3
630,25,E,5,5,5,5,DELTA_5
632,25,E,7,1,1,1,DELTA_7
634,25,E,9,1,1,1,DELTA_9
636,25,E,11,1,1,1,DELTA_11
638,25,E,13,1,1,1,DELTA_13
640,25,E,15,5,5,5,DELTA_15
676,26,E,0,26,676,26,SQUARE
678,26,E,2,2,2,2,DELTA_2
680,26,E,4,2,4,2,DELTA_4
682,26,E,6,2,2,2,DELTA_6
684,26,E,8,2,4,2,DELTA_8
686,26,E,10,2,2,2,DELTA_10
688,26,E,12,2,4,2,DELTA_12
690,26,E,14,2,2,2,DELTA_14
692,26,E,16,2,4,2,DELTA_16
729,19683,O,0,729,729,19683,SQUARE
730,27,E,1,1,1,1,DELTA_1
732,27,E,3,3,3,3,DELTA_3
734,27,E,5,1,1,1,DELTA_5
736,27,E,7,1,1,1,DELTA_7
738,27,E,9,9,9,9,DELTA_9
740,27,E,11,1,1,1,DELTA_11
742,27,E,13,1,1,1,DELTA_13
744,27,E,15,3,3,3,DELTA_15
784,28,E,0,28,784,28,SQUARE
786,28,E,2,2,2,2,DELTA_2
788,28,E,4,4,4,4,DELTA_4
790,28,E,6,2,2,2,DELTA_6
792,28,E,8,4,8,4,DELTA_8
