n,step,state,branch,floor_output,lower_gap,upper_gap,cell_width,exact_boundary_flag
702,0,702,E,26,26,27,53,0
703,0,703,O,18639,16606,20673,37279,0
704,0,704,E,26,28,25,53,0
705,0,705,O,18719,1664,35775,37439,0
706,0,706,E,26,30,23,53,0
707,0,707,O,18798,28439,9158,37597,0
708,0,708,E,26,32,21,53,0
709,0,709,O,18878,21945,15812,37757,0
710,0,710,E,26,34,19,53,0
711,0,711,O,18958,19667,18250,37917,0
712,0,712,E,26,36,17,53,0
713,0,713,O,19038,21653,16424,38077,0
714,0,714,E,26,38,15,53,0
715,0,715,O,19118,27951,10286,38237,0
716,0,716,E,26,40,13,53,0
717,0,717,O,19199,212,38187,38399,0
718,0,718,E,26,42,11,53,0
719,0,719,O,19279,15118,23441,38559,0
720,0,720,E,26,44,9,53,0
721,0,721,O,19359,34480,4239,38719,0
722,0,722,E,26,46,7,53,0
723,0,723,O,19440,19467,19414,38881,0
724,0,724,E,26,48,5,53,0
725,0,725,O,19521,8684,30359,39043,0
726,0,726,E,26,50,3,53,0
727,0,727,O,19602,2179,37026,39205,0
728,0,728,E,26,52,1,53,0
729,0,729,O,19683,0,39367,39367,1
730,0,730,E,27,1,54,55,0
731,0,731,O,19764,2195,37334,39529,0
732,0,732,E,27,3,52,55,0
733,0,733,O,19845,8812,30879,39691,0
734,0,734,E,27,5,50,55,0
735,0,735,O,19926,19899,19954,39853,0
736,0,736,E,27,7,48,55,0
737,0,737,O,20007,35504,4511,40015,0
738,0,738,E,27,9,46,55,0
739,0,739,O,20089,15498,24681,40179,0
740,0,740,E,27,11,44,55,0
741,0,741,O,20170,40121,220,40341,0
742,0,742,E,27,13,42,55,0
743,0,743,O,20252,28903,11602,40505,0
744,0,744,E,27,15,40,55,0
745,0,745,O,20334,22069,18600,40669,0
746,0,746,E,27,17,38,55,0
747,0,747,O,20416,19667,21166,40833,0
748,0,748,E,27,19,36,55,0
749,0,749,O,20498,21745,19252,40997,0
750,0,750,E,27,21,34,55,0
751,0,751,O,20580,28351,12810,41161,0
752,0,752,E,27,23,32,55,0
753,0,753,O,20662,39533,1792,41325,0
754,0,754,E,27,25,30,55,0
755,0,755,O,20745,13850,27641,41491,0
756,0,756,E,27,27,28,55,0
757,0,757,O,20827,34164,7491,41655,0
758,0,758,E,27,29,26,55,0
759,0,759,O,20910,17379,24442,41821,0
760,0,760,E,27,31,24,55,0
761,0,761,O,20993,5032,36955,41987,0
762,0,762,E,27,33,22,55,0
763,0,763,O,21075,39322,2829,42151,0
764,0,764,E,27,35,20,55,0
765,0,765,O,21158,36161,6156,42317,0
766,0,766,E,27,37,18,55,0
767,0,767,O,21241,37582,4901,42483,0
768,0,768,E,27,39,16,55,0
769,0,769,O,21325,984,41667,42651,0
770,0,770,E,27,41,14,55,0
771,0,771,O,21408,11547,31270,42817,0
772,0,772,E,27,43,12,55,0
773,0,773,O,21491,26836,16147,42983,0
774,0,774,E,27,45,10,55,0
775,0,775,O,21575,3750,39401,43151,0
776,0,776,E,27,47,8,55,0
777,0,777,O,21658,28469,14848,43317,0
778,0,778,E,27,49,6,55,0
779,0,779,O,21742,14575,28910,43485,0
780,0,780,E,27,51,4,55,0
781,0,781,O,21826,5265,38388,43653,0
782,0,782,E,27,53,2,55,0
783,0,783,O,21910,587,43234,43821,0
784,0,784,E,28,0,57,57,1
785,0,785,O,21994,589,43400,43989,0
786,0,786,E,28,2,55,57,0
787,0,787,O,22078,5319,38838,44157,0
788,0,788,E,28,4,53,57,0
789,0,789,O,22162,14825,29500,44325,0
790,0,790,E,28,6,51,57,0
791,0,791,O,22246,29155,15338,44493,0
792,0,792,E,28,8,49,57,0
793,0,793,O,22331,3696,40967,44663,0
794,0,794,E,28,10,47,57,0
795,0,795,O,22415,27650,17181,44831,0
796,0,796,E,28,12,45,57,0
797,0,797,O,22500,11573,33428,45001,0
798,0,798,E,28,14,43,57,0
799,0,799,O,22585,174,44997,45171,0
800,0,800,E,28,16,41,57,0
801,0,801,O,22669,38840,6499,45339,0
802,0,802,E,28,18,39,57,0
803,0,803,O,22754,37111,8398,45509,0
804,0,804,E,28,20,37,57,0
805,0,805,O,22839,40204,5475,45679,0
806,0,806,E,28,22,35,57,0
807,0,807,O,22925,2318,43533,45851,0
808,0,808,E,28,24,33,57,0
809,0,809,O,23010,15029,30992,46021,0
810,0,810,E,28,26,31,57,0
811,0,811,O,23095,32706,13485,46191,0
812,0,812,E,28,28,29,57,0
813,0,813,O,23181,9036,37327,46363,0
814,0,814,E,28,30,27,57,0
815,0,815,O,23266,36619,9914,46533,0
816,0,816,E,28,32,25,57,0
817,0,817,O,23352,22609,24096,46705,0
818,0,818,E,28,34,23,57,0
819,0,819,O,23438,13415,33462,46877,0
820,0,820,E,28,36,21,57,0
821,0,821,O,23524,9085,37964,47049,0
822,0,822,E,28,38,19,57,0
823,0,823,O,23610,9667,37554,47221,0
824,0,824,E,28,40,17,57,0
825,0,825,O,23696,15209,32184,47393,0
826,0,826,E,28,42,15,57,0
827,0,827,O,23782,25759,21806,47565,0
828,0,828,E,28,44,13,57,0
829,0,829,O,23868,41365,6372,47737,0
830,0,830,E,28,46,11,57,0
831,0,831,O,23955,14166,33745,47911,0
832,0,832,E,28,48,9,57,0
833,0,833,O,24041,39856,8227,48083,0
834,0,834,E,28,50,7,57,0
835,0,835,O,24128,22491,25766,48257,0
836,0,836,E,28,52,5,57,0
837,0,837,O,24215,10028,38403,48431,0
838,0,838,E,28,54,3,57,0
839,0,839,O,24302,2515,46090,48605,0
840,0,840,E,28,56,1,57,0
841,0,841,O,24389,0,48779,48779,1
842,0,842,E,29,1,58,59,0
843,0,843,O,24476,2531,46422,48953,0
844,0,844,E,29,3,56,59,0
845,0,845,O,24563,10156,38971,49127,0
846,0,846,E,29,5,54,59,0
847,0,847,O,24650,22923,26378,49301,0
848,0,848,E,29,7,52,59,0
849,0,849,O,24737,40880,8595,49475,0
850,0,850,E,29,9,50,59,0
851,0,851,O,24825,14426,35225,49651,0
852,0,852,E,29,11,48,59,0
853,0,853,O,24912,42733,7092,49825,0
854,0,854,E,29,13,46,59,0
855,0,855,O,25000,26375,23626,50001,0
856,0,856,E,29,15,44,59,0
857,0,857,O,25088,15049,35128,50177,0
858,0,858,E,29,17,42,59,0
859,0,859,O,25176,8803,41550,50353,0
860,0,860,E,29,19,40,59,0
861,0,861,O,25264,7685,42844,50529,0
862,0,862,E,29,21,38,59,0
863,0,863,O,25352,11743,38962,50705,0
864,0,864,E,29,23,36,59,0
865,0,865,O,25440,21025,29856,50881,0
866,0,866,E,29,25,34,59,0
867,0,867,O,25528,35579,15478,51057,0
868,0,868,E,29,27,32,59,0
869,0,869,O,25617,4220,47015,51235,0
870,0,870,E,29,29,30,59,0
871,0,871,O,25705,29286,22125,51411,0
872,0,872,E,29,31,28,59,0
873,0,873,O,25794,8181,43408,51589,0
874,0,874,E,29,33,26,59,0
875,0,875,O,25882,43951,7814,51765,0
876,0,876,E,29,35,24,59,0
877,0,877,O,25971,33292,18651,51943,0
878,0,878,E,29,37,22,59,0
879,0,879,O,26060,27839,24282,52121,0
880,0,880,E,29,39,20,59,0
881,0,881,O,26149,27640,24659,52299,0
882,0,882,E,29,41,18,59,0
883,0,883,O,26238,32743,19734,52477,0
884,0,884,E,29,43,16,59,0
885,0,885,O,26327,43196,9459,52655,0
886,0,886,E,29,45,14,59,0
887,0,887,O,26417,6214,46621,52835,0
888,0,888,E,29,47,12,59,0
889,0,889,O,26506,27333,25680,53013,0
890,0,890,E,29,49,10,59,0
891,0,891,O,26596,755,52438,53193,0
892,0,892,E,29,51,8,59,0
893,0,893,O,26685,32732,20639,53371,0
894,0,894,E,29,53,6,59,0
895,0,895,O,26775,16750,36801,53551,0
896,0,896,E,29,55,4,59,0
897,0,897,O,26865,6048,47683,53731,0
898,0,898,E,29,57,2,59,0
899,0,899,O,26955,674,53237,53911,0
900,0,900,E,30,0,61,61,1
901,0,901,O,27045,676,53415,54091,0
902,0,902,E,30,2,59,61,0
903,0,903,O,27135,6102,48169,54271,0
904,0,904,E,30,4,57,61,0
905,0,905,O,27225,17000,37451,54451,0
906,0,906,E,30,6,55,61,0
907,0,907,O,27315,33418,21213,54631,0
908,0,908,E,30,8,53,61,0
909,0,909,O,27406,593,54220,54813,0
910,0,910,E,30,10,51,61,0
911,0,911,O,27496,28015,26978,54993,0
912,0,912,E,30,12,49,61,0
913,0,913,O,27587,5928,49247,55175,0
914,0,914,E,30,14,47,61,0
915,0,915,O,27677,44546,10809,55355,0
916,0,916,E,30,16,45,61,0
917,0,917,O,27768,33389,22148,55537,0
918,0,918,E,30,18,43,61,0
919,0,919,O,27859,27678,28041,55719,0
920,0,920,E,30,20,41,61,0
921,0,921,O,27950,27461,28440,55901,0
922,0,922,E,30,22,39,61,0
923,0,923,O,28041,32786,23297,56083,0
924,0,924,E,30,24,37,61,0
925,0,925,O,28132,43701,12564,56265,0
926,0,926,E,30,26,35,61,0
927,0,927,O,28224,3807,52642,56449,0
928,0,928,E,30,28,33,61,0
929,0,929,O,28315,25864,30767,56631,0
930,0,930,E,30,30,31,61,0
931,0,931,O,28406,53655,3158,56813,0
932,0,932,E,30,32,29,61,0
933,0,933,O,28498,30233,26764,56997,0
934,0,934,E,30,34,27,61,0
935,0,935,O,28590,12275,44906,57181,0
936,0,936,E,30,36,25,61,0
937,0,937,O,28681,57192,171,57363,0
938,0,938,E,30,38,23,61,0
939,0,939,O,28773,50490,7057,57547,0
940,0,940,E,30,40,21,61,0
941,0,941,O,28865,49396,8335,57731,0
942,0,942,E,30,42,19,61,0
943,0,943,O,28957,53958,3957,57915,0
944,0,944,E,30,44,17,61,0
945,0,945,O,29050,6125,51976,58101,0
946,0,946,E,30,46,15,61,0
947,0,947,O,29142,21959,36326,58285,0
948,0,948,E,30,48,13,61,0
949,0,949,O,29234,43593,14876,58469,0
950,0,950,E,30,50,11,61,0
951,0,951,O,29327,12422,46233,58655,0
952,0,952,E,30,52,9,61,0
953,0,953,O,29419,45616,13223,58839,0
954,0,954,E,30,54,7,61,0
955,0,955,O,29512,25731,33294,59025,0
956,0,956,E,30,56,5,61,0
957,0,957,O,29605,11468,47743,59211,0
958,0,958,E,30,58,3,61,0
959,0,959,O,29698,2875,56522,59397,0
960,0,960,E,30,60,1,61,0
961,0,961,O,29791,0,59583,59583,1
962,0,962,E,31,1,62,63,0
963,0,963,O,29884,2891,56878,59769,0
964,0,964,E,31,3,60,63,0
965,0,965,O,29977,11596,48359,59955,0
966,0,966,E,31,5,58,63,0
967,0,967,O,30070,26163,33978,60141,0
968,0,968,E,31,7,56,63,0
969,0,969,O,30163,46640,13687,60327,0
970,0,970,E,31,9,54,63,0
971,0,971,O,30257,12562,47953,60515,0
972,0,972,E,31,11,52,63,0
973,0,973,O,30350,44817,15884,60701,0
974,0,974,E,31,13,50,63,0
975,0,975,O,30444,22239,38650,60889,0
976,0,976,E,31,15,48,63,0
977,0,977,O,30538,5389,55688,61077,0
978,0,978,E,31,17,46,63,0
979,0,979,O,30631,55578,5685,61263,0
980,0,980,E,31,19,44,63,0
981,0,981,O,30725,50516,10935,61451,0
982,0,982,E,31,21,42,63,0
983,0,983,O,30819,51326,10313,61639,0
984,0,984,E,31,23,40,63,0
985,0,985,O,30913,58056,3771,61827,0
986,0,986,E,31,25,38,63,0
987,0,987,O,31008,8739,53278,62017,0
988,0,988,E,31,27,36,63,0
989,0,989,O,31102,27265,34940,62205,0
990,0,990,E,31,29,34,63,0
991,0,991,O,31196,51855,10538,62393,0
992,0,992,E,31,31,32,63,0
993,0,993,O,31291,19976,42607,62583,0
994,0,994,E,31,33,30,63,0
995,0,995,O,31385,56650,6121,62771,0
996,0,996,E,31,35,28,63,0
997,0,997,O,31480,36573,26388,62961,0
998,0,998,E,31,37,26,63,0
999,0,999,O,31575,22374,40777,63151,0
1000,0,1000,E,31,39,24,63,0
1001,0,1001,O,31670,14101,49240,63341,0
1002,0,1002,E,31,41,22,63,0
1003,0,1003,O,31765,11802,51729,63531,0
1004,0,1004,E,31,43,20,63,0
1005,0,1005,O,31860,15525,48196,63721,0
1006,0,1006,E,31,45,18,63,0
1007,0,1007,O,31955,25318,38593,63911,0
1008,0,1008,E,31,47,16,63,0
1009,0,1009,O,32050,41229,22872,64101,0
1010,0,1010,E,31,49,14,63,0
1011,0,1011,O,32145,63306,985,64291,0
1012,0,1012,E,31,51,12,63,0
1013,0,1013,O,32241,27116,37367,64483,0
1014,0,1014,E,31,53,10,63,0
1015,0,1015,O,32336,61479,3194,64673,0
1016,0,1016,E,31,55,8,63,0
1017,0,1017,O,32432,37289,27576,64865,0
1018,0,1018,E,31,57,6,63,0
1019,0,1019,O,32528,19075,45982,65057,0
1020,0,1020,E,31,59,4,63,0
1021,0,1021,O,32624,6885,58364,65249,0
1022,0,1022,E,31,61,2,63,0
1023,0,1023,O,32720,767,64674,65441,0
1024,0,1024,E,32,0,65,65,1
1025,0,1025,O,32816,769,64864,65633,0
1026,0,1026,E,32,2,63,65,0
1027,0,1027,O,32912,6939,58886,65825,0
1028,0,1028,E,32,4,61,65,0
1029,0,1029,O,33008,19325,46692,66017,0
1030,0,1030,E,32,6,59,65,0
1031,0,1031,O,33104,37975,28234,66209,0
1032,0,1032,E,32,8,57,65,0
1033,0,1033,O,33200,62937,3464,66401,0
1034,0,1034,E,32,10,55,65,0
1035,0,1035,O,33297,27666,38929,66595,0
1036,0,1036,E,32,12,53,65,0
1037,0,1037,O,33393,65204,1583,66787,0
1038,0,1038,E,32,14,51,65,0
1039,0,1039,O,33490,42219,24762,66981,0
1040,0,1040,E,32,16,49,65,0
1041,0,1041,O,33587,25352,41823,67175,0
1042,0,1042,E,32,18,47,65,0
1043,0,1043,O,33684,14651,52718,67369,0
1044,0,1044,E,32,20,45,65,0
1045,0,1045,O,33781,10164,57399,67563,0
1046,0,1046,E,32,22,43,65,0
1047,0,1047,O,33878,11939,55818,67757,0
1048,0,1048,E,32,24,41,65,0
1049,0,1049,O,33975,20024,47927,67951,0
1050,0,1050,E,32,26,39,65,0
1051,0,1051,O,34072,34467,33678,68145,0
1052,0,1052,E,32,28,37,65,0
1053,0,1053,O,34169,55316,13023,68339,0
1054,0,1054,E,32,30,35,65,0
1055,0,1055,O,34267,14086,54449,68535,0
1056,0,1056,E,32,32,33,65,0
1057,0,1057,O,34364,47697,21032,68729,0
1058,0,1058,E,32,34,31,65,0
1059,0,1059,O,34462,18935,49990,68925,0
1060,0,1060,E,32,36,29,65,0
1061,0,1061,O,34559,65500,3619,69119,0
1062,0,1062,E,32,38,27,65,0
1063,0,1063,O,34657,49398,19917,69315,0
1064,0,1064,E,32,40,25,65,0
1065,0,1065,O,34755,39600,29911,69511,0
1066,0,1066,E,32,42,23,65,0
1067,0,1067,O,34853,36154,33553,69707,0
1068,0,1068,E,32,44,21,65,0
1069,0,1069,O,34951,39108,30795,69903,0
1070,0,1070,E,32,46,19,65,0
1071,0,1071,O,35049,48510,21589,70099,0
1072,0,1072,E,32,48,17,65,0
1073,0,1073,O,35147,64408,5887,70295,0
1074,0,1074,E,32,50,15,65,0
1075,0,1075,O,35246,16359,54134,70493,0
1076,0,1076,E,32,52,13,65,0
1077,0,1077,O,35344,45197,25492,70689,0
1078,0,1078,E,32,54,11,65,0
1079,0,1079,O,35443,9790,61097,70887,0
1080,0,1080,E,32,56,9,65,0
1081,0,1081,O,35541,51760,19323,71083,0
1082,0,1082,E,32,58,7,65,0
1083,0,1083,O,35640,29187,42094,71281,0
1084,0,1084,E,32,60,5,65,0
1085,0,1085,O,35739,13004,58475,71479,0
1086,0,1086,E,32,62,3,65,0
1087,0,1087,O,35838,3259,68418,71677,0
1088,0,1088,E,32,64,1,65,0
1089,0,1089,O,35937,0,71875,71875,1
1090,0,1090,E,33,1,66,67,0
1091,0,1091,O,36036,3275,68798,72073,0
1092,0,1092,E,33,3,64,67,0
1093,0,1093,O,36135,13132,59139,72271,0
1094,0,1094,E,33,5,62,67,0
1095,0,1095,O,36234,29619,42850,72469,0
1096,0,1096,E,33,7,60,67,0
1097,0,1097,O,36333,52784,19883,72667,0
1098,0,1098,E,33,9,58,67,0
1099,0,1099,O,36433,9810,63057,72867,0
1100,0,1100,E,33,11,56,67,0
1101,0,1101,O,36532,46277,26788,73065,0
1102,0,1102,E,33,13,54,67,0
1103,0,1103,O,36632,16303,56962,73265,0
1104,0,1104,E,33,15,52,67,0
1105,0,1105,O,36731,66264,7199,73463,0
1106,0,1106,E,33,17,50,67,0
1107,0,1107,O,36831,49482,24181,73663,0
1108,0,1108,E,33,19,48,67,0
1109,0,1109,O,36931,39268,34595,73863,0
1110,0,1110,E,33,21,46,67,0
1111,0,1111,O,37031,35670,38393,74063,0
1112,0,1112,E,33,23,44,67,0
1113,0,1113,O,37131,38736,35527,74263,0
1114,0,1114,E,33,25,42,67,0
1115,0,1115,O,37231,48514,25949,74463,0
1116,0,1116,E,33,27,40,67,0
1117,0,1117,O,37331,65052,9611,74663,0
1118,0,1118,E,33,29,38,67,0
1119,0,1119,O,37432,13535,61330,74865,0
1120,0,1120,E,33,31,36,67,0
1121,0,1121,O,37532,43537,31528,75065,0
1122,0,1122,E,33,33,34,67,0
1123,0,1123,O,37633,5178,70089,75267,0
1124,0,1124,E,33,35,32,67,0
1125,0,1125,O,37733,48836,26631,75467,0
1126,0,1126,E,33,37,30,67,0
1127,0,1127,O,37834,23827,51842,75669,0
1128,0,1128,E,33,39,28,67,0
1129,0,1129,O,37935,5464,70407,75871,0
1130,0,1130,E,33,41,26,67,0
1131,0,1131,O,38035,69866,6205,76071,0
1132,0,1132,E,33,43,24,67,0
1133,0,1133,O,38136,65141,11132,76273,0
1134,0,1134,E,33,45,22,67,0
1135,0,1135,O,38237,67206,9269,76475,0
1136,0,1136,E,33,47,20,67,0
1137,0,1137,O,38338,76109,568,76677,0
1138,0,1138,E,33,49,18,67,0
1139,0,1139,O,38440,15019,61862,76881,0
1140,0,1140,E,33,51,16,67,0
1141,0,1141,O,38541,37540,39543,77083,0
1142,0,1142,E,33,53,14,67,0
1143,0,1143,O,38642,67043,10242,77285,0
1144,0,1144,E,33,55,12,67,0
1145,0,1145,O,38744,26089,51400,77489,0
1146,0,1146,E,33,57,10,67,0
1147,0,1147,O,38845,69498,8193,77691,0
1148,0,1148,E,33,59,8,67,0
1149,0,1149,O,38947,42140,35755,77895,0
1150,0,1150,E,33,61,6,67,0
1151,0,1151,O,39049,21550,56549,78099,0
1152,0,1152,E,33,63,4,67,0
1153,0,1153,O,39151,7776,70527,78303,0
1154,0,1154,E,33,65,2,67,0
1155,0,1155,O,39253,866,77641,78507,0
1156,0,1156,E,34,0,69,69,1
1157,0,1157,O,39355,868,77843,78711,0
1158,0,1158,E,34,2,67,69,0
1159,0,1159,O,39457,7830,71085,78915,0
1160,0,1160,E,34,4,65,69,0
1161,0,1161,O,39559,21800,57319,79119,0
1162,0,1162,E,34,6,63,69,0
1163,0,1163,O,39661,42826,36497,79323,0
1164,0,1164,E,34,8,61,69,0
1165,0,1165,O,39763,70956,8571,79527,0
1166,0,1166,E,34,10,59,69,0
1167,0,1167,O,39866,26507,53226,79733,0
1168,0,1168,E,34,12,57,69,0
1169,0,1169,O,39968,68785,11152,79937,0
1170,0,1170,E,34,14,55,69,0
1171,0,1171,O,40071,38170,41973,80143,0
1172,0,1172,E,34,16,53,69,0
1173,0,1173,O,40174,14441,65908,80349,0
1174,0,1174,E,34,18,51,69,0
1175,0,1175,O,40276,78199,2354,80553,0
1176,0,1176,E,34,20,49,69,0
1177,0,1177,O,40379,68592,12167,80759,0
1178,0,1178,E,34,22,47,69,0
1179,0,1179,O,40482,66015,14950,80965,0
1180,0,1180,E,34,24,45,69,0
1181,0,1181,O,40585,70516,10655,81171,0
1182,0,1182,E,34,26,43,69,0
1183,0,1183,O,40689,766,80613,81379,0
1184,0,1184,E,34,28,41,69,0
1185,0,1185,O,40792,19361,62224,81585,0
1186,0,1186,E,34,30,39,69,0
1187,0,1187,O,40895,45178,36613,81791,0
1188,0,1188,E,34,32,37,69,0
1189,0,1189,O,40998,78265,3732,81997,0
1190,0,1190,E,34,34,35,69,0
1191,0,1191,O,41102,36467,45738,82205,0
1192,0,1192,E,34,36,33,69,0
1193,0,1193,O,41206,1621,80792,82413,0
1194,0,1194,E,34,38,31,69,0
1195,0,1195,O,41309,56394,26225,82619,0
1196,0,1196,E,34,40,29,69,0
1197,0,1197,O,41413,35804,47023,82827,0
1198,0,1198,E,34,42,27,69,0
1199,0,1199,O,41517,22310,60725,83035,0
1200,0,1200,E,34,44,25,69,0
1201,0,1201,O,41621,15960,67283,83243,0
1202,0,1202,E,34,46,23,69,0
1203,0,1203,O,41725,16802,66649,83451,0
1204,0,1204,E,34,48,21,69,0
1205,0,1205,O,41829,24884,58775,83659,0
1206,0,1206,E,34,50,19,69,0
1207,0,1207,O,41933,40254,43613,83867,0
1208,0,1208,E,34,52,17,69,0
1209,0,1209,O,42037,62960,21115,84075,0
1210,0,1210,E,34,54,15,69,0
1211,0,1211,O,42142,8767,75518,84285,0
1212,0,1212,E,34,56,13,69,0
1213,0,1213,O,42246,46081,38412,84493,0
1214,0,1214,E,34,58,11,69,0
1215,0,1215,O,42351,6174,78529,84703,0
1216,0,1216,E,34,60,9,69,0
1217,0,1217,O,42455,58288,26623,84911,0
1218,0,1218,E,34,62,7,69,0
1219,0,1219,O,42560,32859,52262,85121,0
1220,0,1220,E,34,64,5,69,0
1221,0,1221,O,42665,14636,70695,85331,0
1222,0,1222,E,34,66,3,69,0
1223,0,1223,O,42770,3667,81874,85541,0
1224,0,1224,E,34,68,1,69,0
1225,0,1225,O,42875,0,85751,85751,1
1226,0,1226,E,35,1,70,71,0
1227,0,1227,O,42980,3683,82278,85961,0
1228,0,1228,E,35,3,68,71,0
1229,0,1229,O,43085,14764,71407,86171,0
1230,0,1230,E,35,5,66,71,0
1231,0,1231,O,43190,33291,53090,86381,0
1232,0,1232,E,35,7,64,71,0
1233,0,1233,O,43295,59312,27279,86591,0
1234,0,1234,E,35,9,62,71,0
1235,0,1235,O,43401,6074,80729,86803,0
1236,0,1236,E,35,11,60,71,0
1237,0,1237,O,43506,47017,39996,87013,0
1238,0,1238,E,35,13,58,71,0
1239,0,1239,O,43612,8375,78850,87225,0
1240,0,1240,E,35,15,56,71,0
1241,0,1241,O,43717,64432,23003,87435,0
1242,0,1242,E,35,17,54,71,0
1243,0,1243,O,43823,40578,47069,87647,0
1244,0,1244,E,35,19,52,71,0
1245,0,1245,O,43929,24084,63775,87859,0
1246,0,1246,E,35,21,50,71,0
1247,0,1247,O,44035,14998,73073,88071,0
1248,0,1248,E,35,23,48,71,0
1249,0,1249,O,44141,13368,74915,88283,0
1250,0,1250,E,35,25,46,71,0
1251,0,1251,O,44247,19242,69253,88495,0
1252,0,1252,E,35,27,44,71,0
1253,0,1253,O,44353,32668,56039,88707,0
1254,0,1254,E,35,29,42,71,0
1255,0,1255,O,44459,53694,35225,88919,0
1256,0,1256,E,35,31,40,71,0
1257,0,1257,O,44565,82368,6763,89131,0
1258,0,1258,E,35,33,38,71,0
1259,0,1259,O,44672,29395,59950,89345,0
1260,0,1260,E,35,35,36,71,0
1261,0,1261,O,44778,73297,16260,89557,0
1262,0,1262,E,35,37,34,71,0
1263,0,1263,O,44885,35222,54549,89771,0
1264,0,1264,E,35,39,32,71,0
1265,0,1265,O,44992,4561,85424,89985,0
1266,0,1266,E,35,41,30,71,0
1267,0,1267,O,45098,71559,18638,90197,0
1268,0,1268,E,35,43,28,71,0
1269,0,1269,O,45205,56084,34327,90411,0
1270,0,1270,E,35,45,26,71,0
1271,0,1271,O,45312,48167,42458,90625,0
1272,0,1272,E,35,47,24,71,0
1273,0,1273,O,45419,47856,42983,90839,0
1274,0,1274,E,35,49,22,71,0
1275,0,1275,O,45526,55199,35854,91053,0
1276,0,1276,E,35,51,20,71,0
1277,0,1277,O,45633,70244,21023,91267,0
1278,0,1278,E,35,53,18,71,0
1279,0,1279,O,45741,1558,89925,91483,0
1280,0,1280,E,35,55,16,71,0
1281,0,1281,O,45848,31937,59760,91697,0
1282,0,1282,E,35,57,14,71,0
1283,0,1283,O,45955,70162,21749,91911,0
1284,0,1284,E,35,59,12,71,0
1285,0,1285,O,46063,24156,67971,92127,0
1286,0,1286,E,35,61,10,71,0
1287,0,1287,O,46170,78003,14338,92341,0
1288,0,1288,E,35,63,8,71,0
1289,0,1289,O,46278,47285,45272,92557,0
1290,0,1290,E,35,65,6,71,0
1291,0,1291,O,46386,24175,68598,92773,0
1292,0,1292,E,35,67,4,71,0
1293,0,1293,O,46494,8721,84268,92989,0
1294,0,1294,E,35,69,2,71,0
1295,0,1295,O,46602,971,92234,93205,0
1296,0,1296,E,36,0,73,73,1
1297,0,1297,O,46710,973,92448,93421,0
1298,0,1298,E,36,2,71,73,0
1299,0,1299,O,46818,8775,84862,93637,0
1300,0,1300,E,36,4,69,73,0
1301,0,1301,O,46926,24425,69428,93853,0
1302,0,1302,E,36,6,67,73,0
1303,0,1303,O,47034,47971,46098,94069,0
1304,0,1304,E,36,8,65,73,0
1305,0,1305,O,47142,79461,14824,94285,0
1306,0,1306,E,36,10,63,73,0
1307,0,1307,O,47251,24442,70061,94503,0
1308,0,1308,E,36,12,61,73,0
1309,0,1309,O,47359,71748,22971,94719,0
1310,0,1310,E,36,14,59,73,0
1311,0,1311,O,47468,32207,62730,94937,0
1312,0,1312,E,36,16,57,73,0
1313,0,1313,O,47577,368,94787,95155,0
1314,0,1314,E,36,18,55,73,0
1315,0,1315,O,47685,71650,23721,95371,0
1316,0,1316,E,36,20,53,73,0
1317,0,1317,O,47794,55577,40012,95589,0
1318,0,1318,E,36,22,51,73,0
1319,0,1319,O,47903,47350,48457,95807,0
1320,0,1320,E,36,24,49,73,0
1321,0,1321,O,48012,47017,49008,96025,0
1322,0,1322,E,36,26,47,73,0
1323,0,1323,O,48121,54626,41617,96243,0
1324,0,1324,E,36,28,45,73,0
1325,0,1325,O,48230,70225,26236,96461,0
1326,0,1326,E,36,30,43,73,0
1327,0,1327,O,48339,93862,2817,96679,0
1328,0,1328,E,36,32,41,73,0
1329,0,1329,O,48449,28688,68211,96899,0
1330,0,1330,E,36,34,39,73,0
1331,0,1331,O,48558,68327,28790,97117,0
1332,0,1332,E,36,36,37,73,0
1333,0,1333,O,48668,18813,78524,97337,0
1334,0,1334,E,36,38,35,73,0
1335,0,1335,O,48777,74646,22909,97555,0
1336,0,1336,E,36,40,33,73,0
1337,0,1337,O,48887,40984,56791,97775,0
1338,0,1338,E,36,42,31,73,0
1339,0,1339,O,48997,15210,82785,97995,0
1340,0,1340,E,36,44,29,73,0
1341,0,1341,O,49106,95585,2628,98213,0
1342,0,1342,E,36,46,27,73,0
1343,0,1343,O,49216,85951,12482,98433,0
1344,0,1344,E,36,48,25,73,0
1345,0,1345,O,49326,84349,14304,98653,0
1346,0,1346,E,36,50,23,73,0
1347,0,1347,O,49436,90827,8046,98873,0
1348,0,1348,E,36,52,21,73,0
1349,0,1349,O,49547,6340,92755,99095,0
1350,0,1350,E,36,54,19,73,0
1351,0,1351,O,49657,28902,70413,99315,0
1352,0,1352,E,36,56,17,73,0
1353,0,1353,O,49767,59688,39847,99535,0
1354,0,1354,E,36,58,15,73,0
1355,0,1355,O,49877,98746,1009,99755,0
1356,0,1356,E,36,60,13,73,0
1357,0,1357,O,49988,46149,53828,99977,0
1358,0,1358,E,36,62,11,73,0
1359,0,1359,O,50099,1478,98721,100199,0
1360,0,1360,E,36,64,9,73,0
1361,0,1361,O,50209,65200,35219,100419,0
1362,0,1362,E,36,66,7,73,0
1363,0,1363,O,50320,36747,63894,100641,0
