n,step,state,branch,floor_output,lower_gap,upper_gap,cell_width,exact_boundary_flag
168,0,168,E,12,24,1,25,0
169,0,169,O,2197,0,4395,4395,1
170,0,170,E,13,1,26,27,0
171,0,171,O,2236,515,3958,4473,0
172,0,172,E,13,3,24,27,0
173,0,173,O,2275,2092,2459,4551,0
174,0,174,E,13,5,22,27,0
175,0,175,O,2315,150,4481,4631,0
176,0,176,E,13,7,20,27,0
177,0,177,O,2354,3917,792,4709,0
178,0,178,E,13,9,18,27,0
179,0,179,O,2394,4103,686,4789,0
180,0,180,E,13,11,16,27,0
181,0,181,O,2435,516,4355,4871,0
182,0,182,E,13,13,14,27,0
183,0,183,O,2475,2862,2089,4951,0
184,0,184,E,13,15,12,27,0
185,0,185,O,2516,1369,3664,5033,0
186,0,186,E,13,17,10,27,0
187,0,187,O,2557,954,4161,5115,0
188,0,188,E,13,19,8,27,0
189,0,189,O,2598,1665,3532,5197,0
190,0,190,E,13,21,6,27,0
191,0,191,O,2639,3550,1729,5279,0
192,0,192,E,13,23,4,27,0
193,0,193,O,2681,1296,4067,5363,0
194,0,194,E,13,25,2,27,0
195,0,195,O,2723,146,5301,5447,0
196,0,196,E,14,0,29,29,1
197,0,197,O,2765,148,5383,5531,0
198,0,198,E,14,2,27,29,0
199,0,199,O,2807,1350,4265,5615,0
200,0,200,E,14,4,25,29,0
201,0,201,O,2849,3800,1899,5699,0
202,0,202,E,14,6,23,29,0
203,0,203,O,2892,1763,4022,5785,0
204,0,204,E,14,8,21,29,0
205,0,205,O,2935,900,4971,5871,0
206,0,206,E,14,10,19,29,0
207,0,207,O,2978,1259,4698,5957,0
208,0,208,E,14,12,17,29,0
209,0,209,O,3021,2888,3155,6043,0
210,0,210,E,14,14,15,29,0
211,0,211,O,3064,5835,294,6129,0
212,0,212,E,14,16,13,29,0
213,0,213,O,3108,3933,2284,6217,0
214,0,214,E,14,18,11,29,0
215,0,215,O,3152,3271,3034,6305,0
216,0,216,E,14,20,9,29,0
217,0,217,O,3196,3897,2496,6393,0
218,0,218,E,14,22,7,29,0
219,0,219,O,3240,5859,622,6481,0
220,0,220,E,14,24,5,29,0
221,0,221,O,3285,2636,3935,6571,0
222,0,222,E,14,26,3,29,0
223,0,223,O,3330,667,5994,6661,0
224,0,224,E,14,28,1,29,0
225,0,225,O,3375,0,6751,6751,1
226,0,226,E,15,1,30,31,0
227,0,227,O,3420,683,6158,6841,0
228,0,228,E,15,3,28,31,0
229,0,229,O,3465,2764,4167,6931,0
230,0,230,E,15,5,26,31,0
231,0,231,O,3510,6291,730,7021,0
232,0,232,E,15,7,24,31,0
233,0,233,O,3556,4201,2912,7113,0
234,0,234,E,15,9,22,31,0
235,0,235,O,3602,3471,3734,7205,0
236,0,236,E,15,11,20,31,0
237,0,237,O,3648,4149,3148,7297,0
238,0,238,E,15,13,18,31,0
239,0,239,O,3694,6283,1106,7389,0
240,0,240,E,15,15,16,31,0
241,0,241,O,3741,2440,5043,7483,0
242,0,242,E,15,17,14,31,0
243,0,243,O,3787,7538,37,7575,0
244,0,244,E,15,19,12,31,0
245,0,245,O,3834,6569,1100,7669,0
246,0,246,E,15,21,10,31,0
247,0,247,O,3881,7062,701,7763,0
248,0,248,E,15,23,8,31,0
249,0,249,O,3929,1208,6651,7859,0
250,0,250,E,15,25,6,31,0
251,0,251,O,3976,4675,3278,7953,0
252,0,252,E,15,27,4,31,0
253,0,253,O,4024,1701,6348,8049,0
254,0,254,E,15,29,2,31,0
255,0,255,O,4072,191,7954,8145,0
256,0,256,E,16,0,33,33,1
257,0,257,O,4120,193,8048,8241,0
258,0,258,E,16,2,31,33,0
259,0,259,O,4168,1755,6582,8337,0
260,0,260,E,16,4,29,33,0
261,0,261,O,4216,4925,3508,8433,0
262,0,262,E,16,6,27,33,0
263,0,263,O,4265,1222,7309,8531,0
264,0,264,E,16,8,25,33,0
265,0,265,O,4313,7656,971,8627,0
266,0,266,E,16,10,23,33,0
267,0,267,O,4362,7119,1606,8725,0
268,0,268,E,16,12,21,33,0
269,0,269,O,4411,8188,635,8823,0
270,0,270,E,16,14,19,33,0
271,0,271,O,4461,1990,6933,8923,0
272,0,272,E,16,16,17,33,0
273,0,273,O,4510,6317,2704,9021,0
274,0,274,E,16,18,15,33,0
275,0,275,O,4560,3275,5846,9121,0
276,0,276,E,16,20,13,33,0
277,0,277,O,4610,1833,7388,9221,0
278,0,278,E,16,22,11,33,0
279,0,279,O,4660,2039,7282,9321,0
280,0,280,E,16,24,9,33,0
